obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-2016.91270888  -748.98363569    49.89930559],[-0.00551956 -0.03026301 -0.23126522],[-1037.72400438  2533.3187262    877.89871134],[-3.11534605  0.03809725  2.78340511]
[-2016.89963822  -748.9925963     49.92825556],[-0.00503297 -0.03070663 -0.23157041],[-1037.70282085  2533.2570526    877.83260014],[-3.11502487  0.03804778  2.78360099]
[-2016.84001084  -748.91955654    49.93058506],[-0.00464237 -0.03092814 -0.23139865],[-1037.70281879  2533.32769503   877.90251059],[-3.11504182  0.03794116  2.78360326]
[-2016.84270986  -748.91671314    49.93884199],[-0.00485839 -0.03071042 -0.23170805],[-1037.73501446  2533.31735687   877.8949127 ],[-3.11523614  0.03862105  2.78332031]
[-2016.85252061  -748.86726367    49.93073966],[-0.0038351  -0.03068098 -0.23160348],[-1037.69727645  2533.27777802   877.86245602],[-3.11502533  0.03801448  2.78361026]
[-2016.84649896  -748.88322022    49.91387342],[-0.00467512 -0.03079898 -0.23174072],[-1037.78258996  2533.32516111   877.94226103],[-3.11505015  0.03857353  2.78347749]
[-2016.8173814   -748.80564081    49.86221672],[-0.00587327 -0.0294643  -0.23003341],[-1037.69239014  2533.25663514   877.82096621],[-3.11524204  0.03783477  2.78352859]
[-2016.81815491  -748.81686242    49.87415221],[-0.00561881 -0.02924784 -0.23014085],[-1037.65416887  2533.25601986   877.8182177 ],[-3.11507582  0.03799771  2.78330384]
[-2016.81085674  -748.78454699    49.87987717],[-0.00517384 -0.02913742 -0.2299135 ],[-1037.70155964  2533.29091242   877.87532705],[-3.11509704  0.03825564  2.78350216]
[-2016.81429027  -748.7564825     49.87279355],[-0.00507019 -0.02923539 -0.23020039],[-1037.67766691  2533.30857022   877.88759648],[-3.11544561  0.03785903  2.78369038]
[-2016.81054843  -748.76939021    49.85743595],[-0.00513134 -0.02927239 -0.229827  ],[-1037.74594701  2533.27962585   877.87936804],[-3.11511479  0.03844032  2.78363878]
[-2016.81226016  -748.74631114    49.86033675],[-0.00516559 -0.02948632 -0.23024065],[-1037.71856995  2533.31278742   877.91324216],[-3.11541911  0.03765554  2.78384283]
[-2016.80677232  -748.79349804    49.8369412 ],[-0.00557309 -0.02953797 -0.23007096],[-1037.76956533  2533.32359757   877.91529636],[-3.11557852  0.03831237  2.7837148 ]
[-2016.82397349  -748.77326706    49.86446619],[-0.00524425 -0.02928511 -0.22981234],[-1037.74124424  2533.29726513   877.87199206],[-3.11517515  0.03787919  2.7838388 ]
[-2016.82227909  -748.7860312     49.87994687],[-0.00529672 -0.02907085 -0.22993402],[-1037.7273029   2533.31662681   877.90355968],[-3.11530916  0.03763016  2.78379721]
[-2016.81480943  -748.82093107    49.85771426],[-0.00572664 -0.02953151 -0.23003602],[-1037.75312783  2533.35057635   877.94630637],[-3.11541815  0.03815962  2.78373353]
[-2016.78850975  -748.79446015    49.85726424],[-0.00545026 -0.02950912 -0.22991291],[-1037.7180526   2533.27822631   877.85802515],[-3.11513442  0.03833598  2.78352352]
[-2016.8207817   -748.77789453    49.84393794],[-0.0054976  -0.02939396 -0.23028058],[-1037.64375941  2533.27155506   877.83531059],[-3.11523252  0.0376937   2.78362587]
[-2016.81703691  -748.75158948    49.87952294],[-0.00508087 -0.02918894 -0.23010585],[-1037.65543395  2533.28233048   877.83781685],[-3.11509134  0.03789459  2.78324075]
[-2016.81604192  -748.7868519     49.86060308],[-0.00524442 -0.02931569 -0.2299574 ],[-1037.6821523   2533.24165156   877.83458799],[-3.11519146  0.0378262   2.78367676]
[-2016.81688119  -748.78568244    49.88411132],[-0.00536755 -0.02955395 -0.22987041],[-1037.75937874  2533.28535225   877.88780733],[-3.11550751  0.03792371  2.78396826]
[-2016.80803448  -748.77743851    49.85522607],[-0.0051923  -0.02950329 -0.22982136],[-1037.68748855  2533.27950632   877.87423647],[-3.11523201  0.03740875  2.7838344 ]
[-2016.81954197  -748.77438431    49.88206462],[-0.00492065 -0.02932876 -0.22970238],[-1037.76733566  2533.30266789   877.88546126],[-3.11534887  0.03848324  2.78369357]
[-2016.82284429  -748.77933164    49.86476986],[-0.00512979 -0.02905341 -0.22967127],[-1037.72972436  2533.30037768   877.8862398 ],[-3.11531712  0.03818788  2.78372141]
[-2016.81882583  -748.75225211    49.89576928],[-0.00504876 -0.02907895 -0.23013875],[-1037.69091595  2533.28066146   877.85717349],[-3.11536503  0.03816882  2.78360531]
[-2016.82716116  -748.78607589    49.86411231],[-0.00545164 -0.0290034  -0.22999345],[-1037.75824514  2533.34700063   877.95807945],[-3.11537707  0.03812896  2.78381241]
[-2016.87906726  -748.86938397    49.85569342],[-0.00600216 -0.02907174 -0.22977553],[-1037.72855269  2533.27626469   877.85490661],[-3.11512319  0.0384663   2.78335017]
[-2016.86369018  -748.85302646    49.85866645],[-0.00561668 -0.02924229 -0.22983759],[-1037.80263364  2533.31589044   877.9132672 ],[-3.11533906  0.03843716  2.78374481]
