obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-2016.861672    -748.8363536     49.84855426],[-0.00582694 -0.02931056 -0.23016769],[-1037.68298302  2533.28585397   877.8474841 ],[-3.11522945  0.03810749  2.78324224]
[-2016.88265754  -748.8333873     49.86266251],[-0.00532126 -0.02911899 -0.22969858],[-1037.71919494  2533.29682935   877.8607133 ],[-3.11522804  0.03824141  2.78336481]
[-2016.82677373  -748.95278081    49.9314854 ],[-0.00753689 -0.02871894 -0.22879569],[-1037.71400151  2533.32373875   877.8907985 ],[-3.11542091  0.03802196  2.78360303]
[-2016.91042016  -748.96067622    49.91608554],[-0.00562977 -0.0303054  -0.23124422],[-1037.67286773  2533.29289804   877.85862794],[-3.115106    0.03763238  2.78367858]
[-2016.92992094  -748.94634981    49.90990473],[-0.00466004 -0.03009359 -0.23122171],[-1037.69687075  2533.29230375   877.87726465],[-3.1152162   0.03802297  2.78369498]
[-2016.90012531  -748.97940245    49.88477678],[-0.00537134 -0.03058548 -0.23118511],[-1037.72161256  2533.28203981   877.88533853],[-3.11518114  0.03835606  2.78342264]
[-2016.90756986  -748.96408837    49.90518705],[-0.00523778 -0.03056982 -0.23143986],[-1037.79202194  2533.34878345   877.95867456],[-3.11537386  0.03824893  2.78381726]
[-2016.91999464  -748.9770827     49.89220248],[-0.00536995 -0.03039486 -0.23128769],[-1037.73621259  2533.31780679   877.91127416],[-3.11549827  0.03749634  2.78414419]
[-2016.90982283  -748.99119283    49.8911056 ],[-0.00583601 -0.03060921 -0.23131214],[-1037.75299261  2533.3599176    877.95863721],[-3.11532698  0.03784357  2.78361527]
[-2016.91358288  -748.95538525    49.90286821],[-0.00506839 -0.03051782 -0.23151736],[-1037.8097753   2533.36801341   877.96324216],[-3.11527956  0.03816536  2.78378224]
[-2016.89992045  -748.97417321    49.90600696],[-0.00502856 -0.03056801 -0.2313406 ],[-1037.67698957  2533.30268055   877.88258898],[-3.11503399  0.03756509  2.78357874]
[-2016.91356156  -748.96161039    49.90143106],[-0.00529798 -0.03069742 -0.23123283],[-1037.70652494  2533.27465186   877.86227104],[-3.11496908  0.0384287   2.78332465]
[-2016.92232875  -748.94669745    49.90441622],[-0.00469943 -0.0303549  -0.23106715],[-1037.66487633  2533.24740169   877.84188576],[-3.11515438  0.03747551  2.78393639]
[-2016.92827954  -748.95591671    49.89989627],[-0.00537824 -0.03050398 -0.23117569],[-1037.69434037  2533.2870994    877.88659245],[-3.11528425  0.03777271  2.7838117 ]
[-2016.91310192  -748.97930274    49.91587292],[-0.00519953 -0.03063142 -0.23115742],[-1037.76751819  2533.31536782   877.93019822],[-3.11529116  0.03803715  2.78395741]
[-2016.89865346  -748.97446549    49.89137278],[-0.00522689 -0.03075141 -0.23123456],[-1037.79652181  2533.32187533   877.92600986],[-3.11541494  0.03822242  2.78399894]
[-2016.91223824  -748.97523781    49.89399371],[-0.00553305 -0.03048368 -0.23124331],[-1037.73634396  2533.33967036   877.93291407],[-3.1151573   0.03773578  2.78377076]
[-2016.9008318   -748.96683978    49.87629884],[-0.00535907 -0.03064009 -0.23134553],[-1037.69810082  2533.28993716   877.86410337],[-3.11524031  0.03735014  2.78405356]
[-2016.90843892  -748.99509319    49.88099905],[-0.00563531 -0.03062516 -0.23158504],[-1037.73784496  2533.31562234   877.89388722],[-3.11531117  0.03827635  2.78355103]
[-2016.92250906  -748.95685813    49.90517695],[-0.00535233 -0.03051897 -0.23134439],[-1037.72657805  2533.30384228   877.90652525],[-3.11495871  0.03806316  2.7835342 ]
[-2016.92642061  -748.95422767    49.89526431],[-0.00511912 -0.03029732 -0.23148521],[-1037.64545088  2533.25886184   877.84406979],[-3.11519784  0.03775122  2.78362872]
[-2016.90701183  -748.96658035    49.90312289],[-0.00505769 -0.03036891 -0.23139012],[-1037.74482274  2533.30481767   877.92065028],[-3.11519571  0.03838196  2.78364223]
[-2016.9075446   -748.95234599    49.89839361],[-0.00508913 -0.03065772 -0.23173596],[-1037.77379411  2533.32864941   877.92450513],[-3.11532545  0.03841529  2.78358308]
[-2016.91329956  -748.95159877    49.88363777],[-0.0054868  -0.03049841 -0.23125318],[-1037.72474539  2533.28382329   877.8647132 ],[-3.11519524  0.03778782  2.783832  ]
[-2016.91861431  -748.96649742    49.91993791],[-0.00519132 -0.03025878 -0.23139678],[-1037.74834451  2533.32650511   877.92006792],[-3.1154186   0.03777565  2.78395687]
[-2016.9218475   -748.97148845    49.88508782],[-0.00529054 -0.03038261 -0.2312966 ],[-1037.7535134   2533.29163103   877.8804084 ],[-3.11495363  0.03823632  2.78358799]
[-2016.93397247  -748.84565806    49.82255679],[-0.00427012 -0.03080868 -0.23182033],[-1037.69817436  2533.3065027    877.87432338],[-3.11523513  0.03765305  2.78375459]
[-2016.81745464  -748.79852687    49.86537524],[-0.00571699 -0.02946906 -0.23006342],[-1037.73801311  2533.29892381   877.89548538],[-3.11533483  0.03827416  2.78362159]
[-2016.82195672  -748.78731908    49.86282052],[-0.00495499 -0.02932872 -0.23007844],[-1037.67141857  2533.26038614   877.8409158 ],[-3.11511787  0.03818828  2.78320282]
[-2016.81637489  -748.77546913    49.86030648],[-0.00504535 -0.02959918 -0.23003571],[-1037.70724433  2533.27667908   877.86613667],[-3.11553866  0.0379157   2.78398436]
[-2016.87466159  -748.85421045    49.85497705],[-0.00544175 -0.02923418 -0.2300312 ],[-1037.73893211  2533.31449829   877.89095984],[-3.11527827  0.03818139  2.7835534 ]
[-2016.84791418  -749.02188639    49.96534815],[-0.00675434 -0.02959703 -0.22955571],[-1037.74160287  2533.31616283   877.89626987],[-3.11529657  0.03822562  2.78353935]
[-2016.90574348  -748.96533257    49.8985675 ],[-0.00543494 -0.03057341 -0.23138065],[-1037.77671404  2533.39642134   878.00072394],[-3.11573698  0.03729131  2.78438497]
[-2016.92674569  -748.98075313    49.91880053],[-0.00513177 -0.03032346 -0.23108008],[-1037.74955824  2533.30461737   877.88309116],[-3.1152892   0.03808677  2.78367278]
[-2016.93247032  -748.96945244    49.92041937],[-0.00522474 -0.0303727  -0.23123588],[-1037.73273079  2533.29999781   877.86603843],[-3.11541993  0.03818234  2.78365261]
[-2016.91037773  -748.98489124    49.89023983],[-0.00556447 -0.03076732 -0.23140886],[-1037.69961867  2533.33071727   877.92951211],[-3.11551451  0.03735577  2.78405435]
[-2016.90359511  -748.9580762     49.8780763 ],[-0.00529522 -0.03085817 -0.23144457],[-1037.69626467  2533.26527608   877.84604751],[-3.11489427  0.03826776  2.78340351]
[-2016.9101281   -748.96320694    49.89446339],[-0.00532359 -0.03051571 -0.23139196],[-1037.68067726  2533.25680592   877.84798429],[-3.11511484  0.03833077  2.78335688]
[-2016.91863465  -748.99188938    49.89965209],[-0.00562039 -0.03053424 -0.23131995],[-1037.68258616  2533.28510005   877.85426844],[-3.11506511  0.03786405  2.78350417]
[-2016.89827769  -748.97752011    49.89777101],[-0.00525073 -0.03040506 -0.23121577],[-1037.74171927  2533.33824411   877.90899339],[-3.1152763   0.03782673  2.78366675]
[-2016.90751019  -748.9611297     49.89708265],[-0.0052318  -0.03055877 -0.23143775],[-1037.77040666  2533.34366171   877.92586958],[-3.11545271  0.03789967  2.78400401]
[-2016.90305141  -748.97794494    49.89797855],[-0.00506991 -0.03045185 -0.23123345],[-1037.67981968  2533.26110933   877.82691185],[-3.11522088  0.03821244  2.78338845]
[-2016.92454871  -748.95200303    49.88346437],[-0.00537975 -0.0306974  -0.23112373],[-1037.68809462  2533.25838479   877.86152218],[-3.11484869  0.03786814  2.78359383]
[-2016.90321743  -748.98086049    49.90374604],[-0.00527832 -0.03045571 -0.23143352],[-1037.77505569  2533.30908409   877.92815602],[-3.11525342  0.03828576  2.7838776 ]
[-2016.9281562   -748.94816371    49.90361001],[-0.00496261 -0.0305271  -0.23104323],[-1037.68990513  2533.33444839   877.93370211],[-3.11553648  0.03711276  2.78427707]
[-2016.90313069  -748.9716968     49.88822211],[-0.00550841 -0.03079932 -0.23124609],[-1037.68937235  2533.28933288   877.86214312],[-3.11494162  0.03782134  2.78366283]
[-2016.91348599  -748.96581051    49.89358052],[-0.00507489 -0.0304516  -0.23148478],[-1037.7052275   2533.332126     877.91374185],[-3.11536274  0.03772368  2.78364276]
[-2016.9147119   -748.99597487    49.90402553],[-0.0055318  -0.03060897 -0.23095397],[-1037.63675264  2533.26175195   877.82475236],[-3.11505681  0.03728014  2.78377445]
[-2016.92190648  -748.99193132    49.90547808],[-0.00546233 -0.03050895 -0.2311995 ],[-1037.72550287  2533.31825051   877.90214525],[-3.11543649  0.03786548  2.78388784]
[-2016.92872902  -748.99186894    49.89232944],[-0.00569502 -0.03041807 -0.23120137],[-1037.70878968  2533.30252976   877.88719023],[-3.11543797  0.03787911  2.78372473]
[-2016.92010233  -748.98079238    49.90115139],[-0.00537001 -0.03028816 -0.23146618],[-1037.69933002  2533.24959473   877.84551001],[-3.11504473  0.03809632  2.78369911]
[-2016.91683299  -748.96424254    49.90466971],[-0.00503557 -0.03032319 -0.23125688],[-1037.72836509  2533.27587346   877.87023453],[-3.11499347  0.03860052  2.78346789]
[-2016.91686788  -748.96288417    49.89859933],[-0.00523101 -0.03031215 -0.23115957],[-1037.6569142   2533.2129789    877.77122307],[-3.11501333  0.03840332  2.78315397]
[-2016.90165867  -748.98203514    49.91121123],[-0.00560211 -0.03028106 -0.23139664],[-1037.73012214  2533.33490971   877.91094733],[-3.11512337  0.03787549  2.78381515]
[-2016.92607708  -748.96939523    49.93394112],[-0.00512504 -0.03002911 -0.23121029],[-1037.6894951   2533.30292007   877.87826839],[-3.11534943  0.03756493  2.78378462]
[-2016.90525316  -748.9680719     49.90667401],[-0.00539874 -0.03047433 -0.23127721],[-1037.77147998  2533.29530983   877.88729554],[-3.11521362  0.03832867  2.78375583]
[-2016.89885271  -748.98519559    49.90615649],[-0.00509251 -0.03026945 -0.23111062],[-1037.80758194  2533.34641521   877.96291283],[-3.11532699  0.03834406  2.78394095]
[-2016.91505967  -748.96447396    49.91411258],[-0.00537617 -0.03032985 -0.2314728 ],[-1037.71695403  2533.30543356   877.88897255],[-3.11522203  0.03786015  2.78355227]
[-2016.92308641  -748.95840279    49.9190114 ],[-0.00482946 -0.03021751 -0.23114977],[-1037.74931315  2533.30641139   877.9115626 ],[-3.1153824   0.03836602  2.78359314]
[-2016.90554638  -748.96731473    49.92000777],[-0.00493398 -0.03055356 -0.23097629],[-1037.72525159  2533.29849528   877.90663339],[-3.11519606  0.03799308  2.78388361]
[-2016.92322041  -748.96799084    49.89862903],[-0.00586489 -0.03036238 -0.23123599],[-1037.7247722   2533.290158     877.89015856],[-3.11514846  0.03834871  2.78357344]
[-2016.91920948  -748.96397848    49.90382878],[-0.00508854 -0.03039054 -0.23113857],[-1037.73646343  2533.326964     877.91859393],[-3.11535972  0.03813395  2.78370877]
[-2016.90744491  -748.95073747    49.89588972],[-0.00491486 -0.03060125 -0.23130248],[-1037.72331317  2533.32369698   877.87941166],[-3.11523602  0.03818822  2.78344061]
[-2016.91782908  -748.97994482    49.90629117],[-0.00528811 -0.03054151 -0.23115401],[-1037.75844339  2533.32541345   877.92647302],[-3.11497795  0.03775289  2.78378588]
[-2016.92662838  -748.95765633    49.91971659],[-0.00493192 -0.03038036 -0.23117319],[-1037.7156126   2533.29974947   877.88312213],[-3.1154103   0.03781674  2.78377415]
[-2016.92707055  -748.98299312    49.90279493],[-0.00523166 -0.03029687 -0.23114051],[-1037.75297095  2533.3404269    877.93847184],[-3.11553087  0.03811828  2.78367062]
[-2016.913974    -748.94178955    49.90538417],[-0.00486439 -0.03000928 -0.23132934],[-1037.65898401  2533.25773165   877.82659609],[-3.11503928  0.0379995   2.78329261]
[-2016.91426225  -748.96333121    49.88157701],[-0.00540542 -0.03062825 -0.23128604],[-1037.67555443  2533.21918048   877.78975964],[-3.11495372  0.03852312  2.78331026]
[-2016.9286638   -748.97768725    49.8922533 ],[-0.00501465 -0.03047533 -0.23110468],[-1037.64830864  2533.29152186   877.87978524],[-3.1152547   0.03711705  2.78408761]
[-2016.90886951  -748.97642741    49.89429436],[-0.00511267 -0.03024525 -0.23123957],[-1037.72177902  2533.31585385   877.89876579],[-3.1153762   0.03795182  2.78371217]
[-2016.91016921  -748.96860662    49.88152328],[-0.00535046 -0.03077655 -0.23127644],[-1037.71395889  2533.29502481   877.87400836],[-3.11529316  0.03805599  2.78367719]
[-2016.92433547  -748.96847229    49.92333959],[-0.00501496 -0.03011487 -0.2312739 ],[-1037.70068578  2533.29696579   877.87608708],[-3.11518784  0.03768138  2.78373021]
[-2016.91904015  -748.9616968     49.89653266],[-0.00491834 -0.03038891 -0.2312723 ],[-1037.68914239  2533.27157877   877.84952767],[-3.11510271  0.03769815  2.78381353]
[-2016.8970404   -748.99183323    49.90510569],[-0.00547656 -0.03057454 -0.23105606],[-1037.65272191  2533.24444146   877.80910912],[-3.11499377  0.03791568  2.78341277]
[-2016.91949167  -748.98761275    49.88672903],[-0.00544064 -0.03066812 -0.2310489 ],[-1037.73673435  2533.28562148   877.87396712],[-3.11510518  0.03844958  2.78331246]
[-2016.91918924  -748.9589705     49.91190068],[-0.00513876 -0.03015106 -0.23127053],[-1037.69936457  2533.29667359   877.89737946],[-3.11538027  0.03781509  2.78380433]
[-2016.92614028  -748.9730656     49.902292  ],[-0.00540402 -0.03040909 -0.2312994 ],[-1037.73054844  2533.29546565   877.88046694],[-3.11509478  0.03832476  2.7836235 ]
[-2016.91728966  -748.99055626    49.89859054],[-0.00567795 -0.03038375 -0.23111598],[-1037.70480822  2533.25000764   877.82693995],[-3.11523913  0.03822798  2.78358322]
[-2016.90905079  -748.95524312    49.90974519],[-0.00505039 -0.03045542 -0.23129304],[-1037.70370566  2533.31199369   877.88529098],[-3.11553382  0.03755642  2.78367951]
[-2016.91287701  -748.95469582    49.9127382 ],[-0.00546764 -0.03053221 -0.23149565],[-1037.6846301   2533.26074309   877.824697  ],[-3.11514125  0.03821711  2.78340178]
[-2016.92238387  -748.9556898     49.91490854],[-0.0051731  -0.03024567 -0.23116772],[-1037.79533354  2533.3322493    877.95021503],[-3.11535739  0.03824973  2.78371759]
[-2016.89998316  -748.99812945    49.90368314],[-0.00561267 -0.03079768 -0.2310436 ],[-1037.72249789  2533.29475324   877.88322196],[-3.11544974  0.0380422   2.783802  ]
[-2016.91334363  -748.98265802    49.89414746],[-0.00547301 -0.03077738 -0.23103425],[-1037.66899405  2533.28318488   877.87410952],[-3.11521514  0.03775223  2.78369083]
[-2016.91230168  -748.96124724    49.90554457],[-0.00506097 -0.03025381 -0.2311755 ],[-1037.69415718  2533.28232567   877.85195558],[-3.11507252  0.0379179   2.78371137]
[-2016.92273723  -748.94788696    49.90660117],[-0.00500733 -0.03052251 -0.23111617],[-1037.63957793  2533.22483465   877.7870449 ],[-3.11475485  0.03811342  2.78326312]
[-2016.9087256   -748.96874816    49.90128445],[-0.00504745 -0.03065035 -0.2313177 ],[-1037.71488907  2533.30140343   877.87529577],[-3.1151841   0.03833613  2.7833115 ]
[-2016.89866194  -748.96525487    49.88660357],[-0.00554418 -0.03078594 -0.2314254 ],[-1037.75872394  2533.33614793   877.93723569],[-3.11558761  0.03766861  2.78414065]
[-2016.89827196  -748.98075775    49.89547524],[-0.00524908 -0.03068136 -0.23112168],[-1037.76399277  2533.32763864   877.92642326],[-3.11545415  0.03792135  2.78383787]
[-2016.91823753  -748.96216978    49.90287202],[-0.00519815 -0.03024271 -0.23117006],[-1037.63850697  2533.25474358   877.82651921],[-3.1151221   0.03759671  2.78349995]
[-2016.92450451  -748.98296107    49.88898124],[-0.00541392 -0.03069287 -0.23117277],[-1037.72534106  2533.31340743   877.90769363],[-3.11526931  0.03788452  2.78371329]
[-2016.92133693  -748.97035979    49.88144647],[-0.00549555 -0.03032768 -0.23132259],[-1037.65437165  2533.2600097    877.83968287],[-3.11522092  0.0379223   2.78360046]
[-2016.91389331  -748.9606664     49.91220936],[-0.00466959 -0.03037585 -0.23125351],[-1037.68652918  2533.27990219   877.85931174],[-3.11514386  0.03800807  2.78363886]
[-2016.90405719  -748.95792994    49.90437827],[-0.00545243 -0.03062482 -0.23146182],[-1037.68638397  2533.30269982   877.88805375],[-3.11510936  0.0378614   2.78359645]
[-2016.9158118   -748.99363061    49.89592406],[-0.00547262 -0.03073197 -0.23125526],[-1037.69790258  2533.28886705   877.85960312],[-3.11522832  0.03763449  2.78383719]
[-2016.92527852  -748.96178505    49.898796  ],[-0.00513141 -0.0303559  -0.23104921],[-1037.67015944  2533.24609862   877.81689468],[-3.11500966  0.03771388  2.78368265]
[-2016.92279605  -748.97019629    49.89678707],[-0.00525133 -0.03066173 -0.23114396],[-1037.73240574  2533.27165093   877.84344296],[-3.11525969  0.0386668   2.78334207]
[-2016.90015577  -748.9444259     49.8968951 ],[-0.00487148 -0.03024089 -0.23100845],[-1037.66004994  2533.27893534   877.86103332],[-3.1150677   0.03740937  2.7836899 ]
[-2016.91661417  -748.96933938    49.90284404],[-0.00529184 -0.03045885 -0.23144435],[-1037.72866172  2533.29986755   877.88099755],[-3.11509312  0.03840222  2.78337437]
[-2016.91155881  -748.97754004    49.91070284],[-0.00529958 -0.03026533 -0.23121762],[-1037.71936321  2533.29039232   877.86465329],[-3.11505817  0.03846639  2.78325512]
[-2016.90676526  -748.9619853     49.88747668],[-0.00515592 -0.03051735 -0.23105259],[-1037.71113766  2533.32062489   877.8955033 ],[-3.11528463  0.03791597  2.78357824]
[-2016.90327367  -748.9566023     49.89550798],[-0.00542206 -0.03064701 -0.23115931],[-1037.72799295  2533.29123015   877.87548188],[-3.11521679  0.03815532  2.7837188 ]
[-2016.89905463  -748.96779001    49.90388302],[-0.0053835  -0.03047337 -0.2314158 ],[-1037.72906181  2533.30532712   877.89752401],[-3.11522601  0.03813616  2.78353974]
[-2016.91539199  -748.97454393    49.88486453],[-0.00566531 -0.03067253 -0.23128548],[-1037.76052297  2533.3276039    877.92915966],[-3.1151004   0.03826788  2.78355032]
[-2016.91589995  -748.95360109    49.89714213],[-0.00514912 -0.03067119 -0.23144475],[-1037.77623926  2533.37009324   877.96661569],[-3.11538903  0.03776013  2.78386395]
[-2016.9171242   -748.96477943    49.90532917],[-0.00522    -0.03027326 -0.23160574],[-1037.67358979  2533.30053015   877.86227867],[-3.11539311  0.03744759  2.78379676]
[-2016.91366082  -748.97305162    49.88041372],[-0.00509875 -0.03063113 -0.23116523],[-1037.74171204  2533.34054055   877.92654659],[-3.11511785  0.03812398  2.78357475]
[-2016.90782448  -748.96486514    49.91868297],[-0.00497702 -0.03013609 -0.23129828],[-1037.6951708   2533.28004503   877.86366872],[-3.11510342  0.03785901  2.78370056]
[-2016.91617596  -748.94266135    49.90705004],[-0.0051485  -0.03052975 -0.23136974],[-1037.72437826  2533.32119479   877.90536216],[-3.11515527  0.03787627  2.78375728]
[-2016.91847813  -748.97571975    49.90950855],[-0.00489229 -0.03038616 -0.23089242],[-1037.73295407  2533.30866856   877.90811679],[-3.11540157  0.03826398  2.78351523]
[-2016.9188673   -748.96190611    49.89042092],[-0.00508486 -0.03059472 -0.23134103],[-1037.69255729  2533.27511987   877.86164181],[-3.11503718  0.0376611   2.78372327]
[-2016.91852259  -748.9835267     49.90096984],[-0.00556006 -0.03045605 -0.2312759 ],[-1037.70480734  2533.28412007   877.86356903],[-3.1153233   0.03780943  2.78365642]
[-2016.92482108  -748.96688354    49.90507187],[-0.00534975 -0.03059434 -0.23114951],[-1037.71713634  2533.28719064   877.87783312],[-3.11530905  0.03786281  2.78385749]
[-2016.90768714  -748.9691669     49.89693786],[-0.0051143  -0.03060603 -0.23119391],[-1037.71712354  2533.25710834   877.83599624],[-3.11513464  0.03818006  2.78359981]
[-2016.90438501  -748.99421258    49.88589045],[-0.00561281 -0.03063441 -0.23137584],[-1037.74078159  2533.29872825   877.88263244],[-3.11515111  0.03873031  2.7833295 ]
[-2016.91733319  -748.96235752    49.89510215],[-0.00512402 -0.03050325 -0.23137165],[-1037.69124332  2533.31640836   877.91129384],[-3.11543358  0.03765369  2.78383112]
[-2016.91044203  -748.95604615    49.89882127],[-0.00503395 -0.03028885 -0.23130534],[-1037.65665926  2533.26347693   877.83668338],[-3.1152071  0.0377547  2.7836394]
[-2016.93131964  -748.95665049    49.90883465],[-0.005016   -0.03027832 -0.23125938],[-1037.75286811  2533.33101772   877.91878374],[-3.11540423  0.03844345  2.78352074]
[-2016.93675966  -748.97639514    49.92331864],[-0.00530762 -0.0301561  -0.23109552],[-1037.75338707  2533.31195186   877.89841095],[-3.11550726  0.03842772  2.78359455]
[-2016.90944341  -748.99169995    49.89058841],[-0.00567857 -0.03051378 -0.23121384],[-1037.72304614  2533.29319049   877.88111364],[-3.11526291  0.03819157  2.78340842]
[-2016.90644049  -748.9777735     49.89896126],[-0.00515678 -0.03034411 -0.23128024],[-1037.71766865  2533.26639471   877.86266362],[-3.11514061  0.03795606  2.78378704]
[-2016.90920472  -748.99463025    49.88482399],[-0.00533709 -0.03065714 -0.23110613],[-1037.72867724  2533.31110487   877.90363212],[-3.11536087  0.03793104  2.78380516]
[-2016.90993427  -748.95431912    49.90366873],[-0.00540199 -0.03035779 -0.23152622],[-1037.71813858  2533.30012714   877.86395541],[-3.11511111  0.03820317  2.78359977]
[-2016.91500534  -748.95220752    49.88628972],[-0.00522479 -0.03050131 -0.23134678],[-1037.72484614  2533.29414744   877.87231526],[-3.11529363  0.03830754  2.78365856]
[-2016.90487105  -748.95689414    49.88993626],[-0.00537217 -0.03066236 -0.23136717],[-1037.73565517  2533.27734768   877.87303302],[-3.11499906  0.0384001   2.7835376 ]
[-2016.90495827  -748.96511712    49.90337313],[-0.00499708 -0.03039615 -0.23140763],[-1037.74674562  2533.29855425   877.90376062],[-3.11505075  0.03793541  2.78387143]
[-2016.88967835  -748.97813773    49.91258675],[-0.00533729 -0.03035474 -0.23146158],[-1037.72513101  2533.32974516   877.93120247],[-3.11538082  0.03766532  2.78383488]
[-2016.90650554  -748.94414568    49.90908603],[-0.00496574 -0.03050742 -0.23162914],[-1037.74787264  2533.31033496   877.89669845],[-3.11517982  0.03813915  2.78362006]
[-2016.91715383  -748.9826096     49.91586065],[-0.00526362 -0.03046117 -0.23121436],[-1037.74925842  2533.28794432   877.87076796],[-3.11541169  0.03849864  2.78350867]
[-2016.91881488  -748.97076598    49.89474141],[-0.00513485 -0.03040134 -0.23114401],[-1037.69848624  2533.30014688   877.89492547],[-3.11518469  0.03744027  2.78398143]
[-2016.91343264  -748.95863691    49.91173172],[-0.00492452 -0.03055373 -0.2312765 ],[-1037.69977025  2533.28094177   877.87119743],[-3.11512711  0.03770172  2.78378846]
