time,phase,hip_pos,hip_vel,hip_tau,hip_tau_des,knee_pos,knee_vel,knee_tau,knee_tau_des
0.0,REPOSITION,-1.2837022349621745,-0.715682603373113,0.0,0.0,2.221052318258436,1.068229335353875,0.0,0.0
0.005000114440917969,REPOSITION,-1.2883361040499934,-0.6079694666314744,0.24658501148223877,-0.8558824903987757,2.2293214334431317,1.0824229644726426,-0.09871269762516022,-0.5477003922753747
0.012683391571044922,REPOSITION,-1.2917076971989527,-0.7481699645563932,-0.43394702672958374,-0.8673440205260823,2.235049892947892,1.241469826395698,-0.5521276593208313,-0.5891694993421364
0.01768350601196289,REPOSITION,-1.2984828102210333,-1.3162266723412557,-0.6311458349227905,-0.8101117019782897,2.2411300145522195,1.20606505546202,-0.6500973105430603,-0.6626616256904749
0.02268385887145996,REPOSITION,-1.3073990735506187,-1.7098605235825977,-0.8197242617607117,-0.6092066810434686,2.2464749788600082,1.0843952121103875,-0.7128474712371826,-0.6794007416298447
0.02768421173095703,REPOSITION,-1.315244714913073,-1.556255529660902,-0.6603612899780273,-0.4509933406879316,2.251100889673476,0.9234565279339131,-0.6754416227340698,-0.6669521280094042
0.032684326171875,REPOSITION,-1.3232501771498513,-1.6276957413639022,-0.37460193037986755,-0.46176945273339576,2.2546961571450828,0.7499014509883245,-0.6504757404327393,-0.6394871214170663
0.03768444061279297,REPOSITION,-1.333061231396784,-1.8921681106596506,-0.5207279324531555,-0.4043128091569937,2.257548402672558,0.5976358346399381,-0.6919355392456055,-0.6035993019556207
0.04268455505371094,REPOSITION,-1.3423130530237193,-1.8554224173111717,-0.47062408924102783,-0.2808213542570718,2.26024878560006,0.5657006840698751,-0.5730103850364685,-0.5707547219247426
0.047684669494628906,REPOSITION,-1.350606136658226,-1.6658613781101517,-0.4115883708000183,-0.2502118649404067,2.2634845263245063,0.6325679308905325,-0.6067368388175964,-0.5733258999274831
0.052684783935546875,REPOSITION,-1.3583879245723567,-1.576283791026951,-0.39433586597442627,-0.26976130034543233,2.2673434467440314,0.7634639889510408,-0.6475480794906616,-0.6079469072336888
0.057684898376464844,REPOSITION,-1.3659140178129205,-1.525345030320247,-0.35447075963020325,-0.2616165308568047,2.2717776099590132,0.8637646017084452,-0.6537664532661438,-0.6645808665397046
0.06268525123596191,REPOSITION,-1.3733123105300797,-1.4960116737024882,-0.25346240401268005,-0.2430307394862785,2.276419437321183,0.9337858062812455,-0.5950877666473389,-0.714624784834344
0.06768536567687988,REPOSITION,-1.3804388983982128,-1.4113235567539157,-0.30372339487075806,-0.21853842924438976,2.281580705931595,1.0235988646584853,-0.4665098190307617,-0.7565193693359481
0.07268548011779785,REPOSITION,-1.3868624429474838,-1.2980907013624112,-0.29449570178985596,-0.21187521892236288,2.2871015012891673,1.0757212548281072,-0.7644269466400146,-0.8066889955959735
0.07768559455871582,REPOSITION,-1.3926148709020552,-1.1861193728957096,-0.12975957989692688,-0.21693912506809437,2.2922946029969835,1.046308970854136,-0.8505049347877502,-0.8471692917559361
0.08268570899963379,REPOSITION,-1.3990384154513262,-1.2891010346552807,-0.11281058937311172,-0.22464459781253393,2.2972000833070716,0.9964745377471091,-0.8441856503486633,-0.8617145642489175
0.08768582344055176,REPOSITION,-1.4061490867707567,-1.3936593710039626,-0.2272818237543106,-0.1648441488129428,2.3014424989235676,0.8672345965790883,-0.8051934838294983,-0.8688388957122057
0.09268617630004883,REPOSITION,-1.412540610969109,-1.2938319010634272,-0.17121939361095428,-0.10147862697090121,2.304910059498527,0.7078723529248322,-0.8510969281196594,-0.8491577836360313
0.0976862907409668,REPOSITION,-1.4180374378768705,-1.1063190408001382,-0.13194823265075684,-0.10266500906047643,2.3077063162252722,0.5791049459997593,-0.8733097910881042,-0.8169531331270721
0.10268640518188477,REPOSITION,-1.4235181609824155,-1.1236666744844273,-0.1478949934244156,-0.13418314605453618,2.3101271296561543,0.5015924305266476,-0.7520987391471863,-0.7909060663199037
0.10768651962280273,REPOSITION,-1.4297340413844986,-1.2264902006513019,-0.09565766155719757,-0.10431560197429729,2.3121084590893353,0.4098075458320699,-0.7992405295372009,-0.7785459721169395
0.1126866340637207,REPOSITION,-1.4367807656288483,-1.3889272874479741,-0.14576512575149536,-0.04549708231486099,2.3136984286779505,0.32811571917672927,-0.7425620555877686,-0.7599264891578805
0.11768698692321777,REPOSITION,-1.4439233636724407,-1.429773177368955,-0.03420228511095047,0.03494430282371441,2.3150726822182692,0.29034502349850344,-0.7408875823020935,-0.7425738043100469
0.12268710136413574,REPOSITION,-1.4503788349458737,-1.3151210339669794,0.13301758468151093,0.07933976099617451,2.3165267057556145,0.29278950109223567,-0.7257941961288452,-0.7374267365380135
0.1276872158050537,REPOSITION,-1.4565307682728759,-1.2140311944608275,0.020442884415388107,0.07399373870603054,2.318084654993311,0.3075349897238813,-0.6915611028671265,-0.7447031857341868
0.13268733024597168,REPOSITION,-1.4620914486289613,-1.1224039304117823,0.04513856768608093,0.07135048682569461,2.319562646980467,0.2890046160308664,-0.7679676413536072,-0.7561376038933146
0.13768744468688965,REPOSITION,-1.466853118240185,-0.9512926990793159,0.16684716939926147,0.06888536921336569,2.3207451529223,0.23735597725203422,-0.751094400882721,-0.7572294557276118
0.14268755912780762,REPOSITION,-1.4710396386827085,-0.852726100676284,0.15736478567123413,0.03897951306413194,2.3213123438166487,0.13232369055570362,-0.7494027614593506,-0.7470561408322122
