time,phase,foot_x,foot_y,foot_z,parkour_x
9.724850416183472,REPOSITION,-0.6662508208598452,0.9749383552279235,0.21414224399410156,4.286956356311928
9.729850769042969,REPOSITION,-0.6661063381748621,0.9750884219995986,0.21437608427895613,4.286758437650924
9.734850883483887,REPOSITION,-0.6659943000691858,0.9751759817804941,0.21442710012424432,4.286620738383234
9.739850997924805,REPOSITION,-0.6658463567922718,0.9751821056947917,0.21401967469471375,4.286498827342934
9.744851112365723,REPOSITION,-0.6657767392273493,0.9752447505809656,0.2140880839873312,4.286408753399183
9.74985146522522,REPOSITION,-0.6656342693264402,0.9752604663883803,0.21375161860825587,4.28628596116118
9.754851818084717,REPOSITION,-0.665461541300019,0.9753872738859694,0.21381496214477494,4.286078131182771
9.759852409362793,REPOSITION,-0.6653105438165194,0.9755010532328945,0.21389514423616326,4.28589485042493
9.764852523803711,REPOSITION,-0.6652518559938954,0.9755928829680578,0.21417326542005563,4.285797586829835
9.769852638244629,REPOSITION,-0.6651565595598368,0.975620575852526,0.21407642995685278,4.2857060378015195
9.774852752685547,REPOSITION,-0.665063791046099,0.9756681335691652,0.21409678941982116,4.285605652640736
9.779852867126465,REPOSITION,-0.6649900951611861,0.9757395064039515,0.21429100513093627,4.285507544461803
9.784852981567383,REPOSITION,-0.6649913078688616,0.9757168443941056,0.21432551212041487,4.285520902755005
9.7898530960083,REPOSITION,-0.6650609910889548,0.975601638307503,0.2141607626334465,4.285639756091926
9.794853210449219,REPOSITION,-0.6650985437289841,0.9755583148008209,0.21421522470234086,4.285693554189145
9.799853324890137,REPOSITION,-0.6651061658792361,0.9754829061341725,0.214049601648653,4.285740895118952
9.804853439331055,REPOSITION,-0.6651616229622067,0.9754419746478222,0.21419163270565747,4.285807747291998
9.809853553771973,REPOSITION,-0.6651221779968612,0.9754202523494473,0.21413271487203733,4.285787994213606
9.81485366821289,REPOSITION,-0.6650885335996702,0.9754190911809918,0.21417874202331766,4.2857616484252175
9.819853782653809,REPOSITION,-0.6650972751424749,0.9753937319116762,0.21421701667162707,4.285782525696814
9.824853897094727,REPOSITION,-0.665012170809703,0.9754294368323011,0.21421958516143244,4.285694750123553
