n,pitch_pos,pitch_vel,yaw_pos,yaw_vel
0,-0.1478254141415,0.0,0.01001881201639998,0.0
1,-0.1489279628323,0.0,0.009910953992299909,0.0
2,-0.1495990794267,0.0,0.009803095968199838,0.0
3,-0.1502462275713,0.0,0.00971321428145,0.0
4,-0.1505338489689,0.0,0.009527458795500099,0.0
5,-0.15130083936249997,0.0,0.009419600771400027,0.0
6,-0.15190005060749998,0.0,0.00946753767100006,0.0
7,-0.1531224415473,0.0,0.009437577108749817,0.0
8,-0.15367371589269999,0.0,0.009419600771400027,0.0
9,-0.1545126116357,0.0,0.009527458795500099,0.0
10,-0.15556722342690002,0.0,0.009665277381849968,0.0
11,-0.1561424662221,0.0,0.009827064417999853,0.0
12,-0.15676564591689998,0.0,0.010030796241299988,0.0
13,-0.157472715186,0.0,0.010264488626849921,0.0
14,-0.1581198633306,0.0,0.01056409424935012,0.0
15,-0.15852732697719998,0.0,0.010917628883900132,0.0
16,-0.15936622272019998,0.0,0.011301124080699942,0.0
17,-0.15977368636679998,0.0,0.011672635052600189,0.0
18,-0.16020511846319999,0.0,0.012080098699200015,0.0
19,-0.1607923454833,0.0,0.012517522908050083,0.0
20,-0.1611518722303,0.0,0.012948955004449925,0.0
21,-0.1614994147524,0.0,0.013410347663100008,0.0
22,-0.1622304524713,0.0,0.0138837245466501,0.0
23,-0.162506089644,0.0,0.014393054104899772,0.0
24,-0.162745774142,0.0,0.014914367888049895,0.0
25,-0.16311728511389997,0.0,0.015489610683249833,0.0
26,-0.1631412535637,0.0,0.016082829815800004,0.0
27,-0.16360863833479997,0.0,0.016694025285699965,0.0
28,-0.1638962597324,0.0,0.01734117343029995,0.0
29,-0.16395618085689997,0.0,0.018000305799799943,0.0
30,-0.16401610198140001,0.0,0.018623485494599912,0.0
31,-0.1643995971782,0.0,0.0192406730769501,0.0
32,-0.16438761295329998,0.0,0.019863852771750068,0.0
33,-0.16468721857580002,0.0,0.020499016691450045,0.0
34,-0.1647351554754,0.0,0.021122196386250014,0.0
35,-0.16453142365209997,0.0,0.0217393839686002,0.0
36,-0.16485499772440002,0.0,0.02236256366340017,0.0
37,-0.16503476109789997,0.0,0.02299173547064992,0.0
38,-0.16519055602160002,0.0,0.023584954603200092,0.0
39,-0.1653343667204,0.0,0.024190157960649827,0.0
40,-0.1649149188489,0.0,0.02478936920564978,0.0
41,-0.1652384929212,0.0,0.025382588338199952,0.0
42,-0.16546619319429998,0.0,0.0259398547960501,0.0
43,-0.1654062720698,0.0,0.026497121253899802,0.0
44,-0.1655860354433,0.0,0.027030419261949934,0.0
45,-0.1653343667204,0.0,0.027569709382449847,0.0
46,-0.16578976726659997,0.0,0.028097015278050197,0.0
47,-0.16555008276859998,0.0,0.028618329061199876,0.0
48,-0.16581373571639998,0.0,0.029133650731899774,0.0
49,-0.16594556219030002,0.0,0.02964298029014989,0.0
50,-0.16596953064009998,0.0,0.03013433351104977,0.0
51,-0.1659335779654,0.0,0.030589734057250073,0.0
52,-0.1661612782385,0.0,0.030991205591400117,0.0
53,-0.1658377041662,0.0,0.03136271656329992,0.0
54,-0.16537031939509997,0.0,0.03171025908540015,0.0
55,-0.1649149188489,0.0,0.03208776216975018,0.0
56,-0.1645793605517,0.0,0.03250721004125001,0.0
57,-0.16427975492919997,0.0,0.03296261058744987,0.0
58,-0.1640880073308,0.0,0.033394042683850156,0.0
59,-0.16384832283280001,0.0,0.033789522105549974,0.0
60,-0.16344085918620002,0.0,0.0341670251899,0.0
61,-0.16318919046330002,0.0,0.03449659137465,0.0
62,-0.1626499003428,0.0,0.03480218910959998,0.0
63,-0.1621345786721,0.0,0.03510778684454996,0.0
64,-0.16177505192509997,0.0,0.035419376691950166,0.0
65,-0.16169116235079997,0.0,0.03576691921404995,0.0
66,-0.16152338320219997,0.0,0.03612644596105019,0.0
67,-0.16145147785279998,0.0,0.03643204369600017,0.0
68,-0.1609121877323,0.0,0.03670768086869991,0.0
69,-0.1607444085837,0.0,0.03696534170404986,0.0
70,-0.16052869253549998,0.0,0.03722300253939981,0.0
71,-0.16009726043909997,0.0,0.03746867914985019,0.0
72,-0.1600613077644,0.0,0.03767840308560011,0.0
73,-0.1599654339652,0.0,0.03789411913379981,0.0
74,-0.1596418598929,0.0,0.038127811519350185,0.0
75,-0.1599654339652,0.0,0.03836150390490012,0.0
76,-0.15967781256759997,0.0,0.03856523572819981,0.0
77,-0.1598216232664,0.0,0.03871503853945013,0.0
78,-0.1595459860937,0.0,0.0388228965635502,0.0
79,-0.1595699545435,0.0,0.03891877036274982,0.0
80,-0.1597257494672,0.0,0.038996667824600095,0.0
81,-0.1593782069451,0.0,0.039074565286449925,0.0
82,-0.15951003341899997,0.0,0.03914647063584997,0.0
83,-0.15961789144309999,0.0,0.039194407535450004,0.0
84,-0.1594740807443,0.0,0.0392243680976998,0.0
85,-0.15901868019809998,0.0,0.03923635232259981,0.0
86,-0.15939019117,0.0,0.0392243680976998,0.0
87,-0.15909058554749997,0.0,0.039194407535450004,0.0
88,-0.1590426486479,0.0,0.039134486410949965,0.0
89,-0.1591385224471,0.0,0.03908055739890015,0.0
90,-0.15924638047120002,0.0,0.0390086520495001,0.0
91,-0.15917447512179997,0.0,0.03894273881254984,0.0
92,-0.15910256977239998,0.0,0.03886484135070001,0.0
93,-0.1591265382222,0.0,0.03878095177639995,0.0
94,-0.15933027004550002,0.0,0.0386970622020999,0.0
95,-0.15909058554749997,0.0,0.03860718051535006,0.0
96,-0.15919844357159998,0.0,0.038529283053499785,0.0
