x_start,z_start,obstacles,areas,t,v,theta,setup_time,solve_time,mppc_time
-0.014961698363604609,0,[],[],[0.55328024 0.55328024 0.55328024],[2.456997 2.456997 2.456997],[1.13446401 1.13446401 1.13446401],0.0010559558868408203,0.00044083595275878906,0.0019342899322509766
0.5249783399551197,0,[],[0],[0.60778023 0.42374938 0.60778023],[2.7        1.87896628 2.7       ],[1.13446401 1.13446401 1.13446401],0.0011241436004638672,0.001728057861328125,0.0032987594604492188
1.3412996768671344,0,[0],[0 1],[0.44220117 0.39845278 0.63308342 0.33897453],[1.96136429 2.0428751  2.63850751 1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.011797666549682617,0.014809608459472656,0.0646982192993164
1.8909209534469762,0,[0],[0 1],[0.36266709 0.6460922  0.60778023],[1.91022108 2.7        2.7       ],[1.13446401 1.13446401 1.13446401],0.006463289260864258,0.013309001922607422,0.0204315185546875
2.218139435633127,0.1,[0],[1],[0.6460922  0.60778023 0.3953723 ],[2.7        2.7        1.75219444],[1.13446401 1.13446401 1.13446401],0.006183624267578125,0.010330677032470703,0.017167091369628906
3.123670603688874,0,[1],[2],[0.54683724 0.39522355 0.68053247],[2.42826299 2.30988602 2.7       ],[1.13446401 1.13446401 1.13446401],0.006278038024902344,0.010499954223632812,0.017438173294067383
3.799296696176603,0,[1 2],[2],[0.3878952  0.66659678 0.62502501],[2.28768439 2.63111577 2.69711318],[1.13446401 1.13446401 1.19548834],0.011359930038452148,0.020937442779541016,0.033167123794555664
4.284612034866129,0.2,[1 2],[2],[0.47608896 0.68053247 0.33897453 0.33897453],[2.11263572 2.7        1.5        1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.019795894622802734,0.033858299255371094,0.07495450973510742
4.875461192368126,0.2,[2],[],[0.68053247 0.60778023 0.36799948],[2.7        2.7        1.62983754],[1.13446401 1.13446401 1.13446401],0.005997180938720703,0.009189605712890625,0.015831470489501953
5.832846341585525,0,[],[],[0.56134684 0.56134684],[2.49296984 2.49296984],[1.13446401 1.13446401],0.0006897449493408203,0.0003082752227783203,0.0014104843139648438
6.534096148001596,0,[],[],[0.55291358],[2.45536185],[1.13446401],0.00046634674072265625,0.0002734661102294922,0.0011110305786132812
