x_start,z_start,obstacles,areas,t,v,theta,setup_time,solve_time,mppc_time
-0.008612503018633696,0,[0 1],[0],[0.55336679 0.30477619 0.59665546 0.33897453],[2.45738299 1.70888528 2.46547701 1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.019577503204345703,0.030403852462768555,0.07225847244262695
0.6305930324929513,0,[0 1],[0 1],[0.31644461 0.56956892 0.57493949 0.33897453],[1.74781155 2.33591241 2.55358127 1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.0198667049407959,0.09010171890258789,0.13430571556091309
0.9942465940327306,0.1,[0 1 2],[0 1],[0.65069674 0.39845278 0.61605198],[2.69947868 2.0428751  2.55776995],[1.15069957 1.13446401 1.13446401],0.01700305938720703,0.027377605438232422,0.04544496536254883
1.8225471751439666,0,[2],[1 2],[0.46679946 0.59036164 0.59323572],[2.30754596 2.43544522 2.63515796],[1.13446401 1.13446401 1.13446401],0.00647735595703125,0.010219812393188477,0.0173797607421875
2.341069342585867,0.1,[1 2],[2],[0.62807516 0.44094874 0.59517794],[2.61479364 1.95577221 2.6438169 ],[1.13446401 1.13446401 1.13446401],0.011262893676757812,0.02537703514099121,0.037450313568115234
3.18317155902998,0,[1 2],[3],[0.55783138 0.36011814 0.60398423 0.33897453],[2.40959869 2.20737921 2.31771079 1.5       ],[1.19066499 1.13446401 1.13446401 1.13446401],0.019773006439208984,0.048892974853515625,0.0937340259552002
3.791351736944028,0,[2 3],[3],[0.3689679  0.68053247 0.56488522],[2.23225661 2.7        2.5087485 ],[1.13446401 1.13446401 1.13446401],0.012397289276123047,0.019237279891967773,0.032447099685668945
4.267653981093118,0.2,[2 3],[3],[0.47608896 0.68053247 0.33897453 0.33897453],[2.11263572 2.7        1.5        1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.021134376525878906,0.03469681739807129,0.07935476303100586
4.8538400203979855,0.2,[3],[],[0.68053247 0.60778023 0.36799971],[2.7       2.7       1.6298386],[1.13446401 1.13446401 1.13446401],0.0060961246490478516,0.00901174545288086,0.0157473087310791
5.768848647077854,0,[4],[],[0.42163352 0.60829422 0.33897453],[2.57228563 2.15812481 1.5       ],[1.19709806 1.13446401 1.13446401],0.006074666976928711,0.014022350311279297,0.027518033981323242
6.241696511359552,0.3,[4],[],[0.6101722  0.33897453],[2.16817211 1.5       ],[1.13446401 1.13446401],0.0030612945556640625,0.0028421878814697266,0.0064313411712646484
6.945779721420167,0,[],[],[0.35715622],[1.5],[1.23030132],0.0004799365997314453,0.0004019737243652344,0.0012865066528320312
