obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-794.21390919 -874.37566263   50.15094942],[-0.06759689 -0.0161801  -2.21818681],[ -533.15497791 -1069.35880916   151.28061579],[-0.00329084  0.02011911  2.64569282]
[-794.21092192 -874.37637206   50.15059964],[-0.06775245 -0.01650333 -2.21846611],[ -533.1790901  -1069.35215958   151.28700269],[-0.00328006  0.02028542  2.64571969]
[-794.18001172 -874.37312652   50.15369395],[-0.06771094 -0.01665696 -2.21811245],[ -533.15100512 -1069.34835945   151.28823074],[-0.00324988  0.02027293  2.64552348]
[-794.22849311 -874.43820818   50.16244016],[-0.06840645 -0.01662088 -2.2181584 ],[ -533.18803253 -1069.31619033   151.29045194],[-0.00301928  0.02051795  2.64563381]
[-794.19593199 -874.40019223   50.16977334],[-0.06841203 -0.01638975 -2.21820559],[ -533.16951573 -1069.32698159   151.30506955],[-0.00301694  0.0203713   2.64541404]
[-794.23592506 -874.36485338   50.1500875 ],[-0.06773918 -0.01632064 -2.21766975],[ -533.2016428  -1069.34996038   151.29155196],[-0.00315703  0.02065706  2.64580705]
[-794.22283342 -874.40499432   50.15579518],[-0.06795034 -0.01642008 -2.21790483],[ -533.21951551 -1069.32567125   151.30535882],[-0.00309053  0.02060821  2.6456644 ]
[-794.23033704 -874.41650976   50.14509819],[-0.06859389 -0.01712323 -2.21774055],[ -533.22355684 -1069.29367199   151.2820025 ],[-0.00283692  0.0205679   2.64557575]
[-794.21244577 -874.457621     50.14868182],[-0.06906723 -0.01667085 -2.21794092],[ -533.18809705 -1069.35046001   151.28236293],[-0.00315389  0.02058515  2.64558695]
[-794.06985418 -874.90678575   50.43411025],[-0.07252663 -0.02180476 -2.22082936],[ -533.13454708 -1068.91142194   151.54626745],[3.38664968e-05 2.11618099e-02 2.64442355e+00]
[-794.21309805 -874.38987008   50.18733614],[-0.06844473 -0.0164024  -2.21827549],[ -533.17572731 -1069.36210229   151.27359225],[-0.00320286  0.02030915  2.64571585]
[-794.20207665 -874.43839078   50.14318269],[-0.06851513 -0.01709473 -2.21785959],[ -533.17196185 -1069.36996233   151.29146767],[-0.00335223  0.02027193  2.64580246]
[-794.22531361 -874.37706124   50.16807983],[-0.06771719 -0.01644933 -2.21814166],[ -533.21239248 -1069.3488739    151.27738407],[-0.00329206  0.02043202  2.64574646]
[-794.24686763 -874.37901996   50.1227533 ],[-0.06820946 -0.01661351 -2.21758501],[ -533.22335671 -1069.32348714   151.29259752],[-0.00307286  0.02073484  2.64546932]
[-794.23941116 -874.36588705   50.15039418],[-0.06814328 -0.01683666 -2.21787989],[ -533.15674976 -1068.96399164   151.49915494],[1.32545114e-05 2.11559316e-02 2.64451139e+00]
[-794.22382662 -874.33563659   50.14044072],[-0.06743726 -0.01699337 -2.21749694],[ -533.20154806 -1069.35136616   151.26185993],[-0.00306171  0.0204721   2.64560193]
[-794.22358275 -874.33254739   50.13529453],[-0.06792917 -0.0168915  -2.21761199],[ -533.19280765 -1069.33361788   151.27646198],[-0.00302178  0.02067138  2.64544586]
[-794.17902253 -874.40657835   50.20052113],[-0.06859579 -0.01669753 -2.21810078],[ -533.18304727 -1069.37295871   151.27025896],[-0.00334301  0.0203693   2.64577487]
[-794.21105052 -874.42073268   50.14265947],[-0.0683511  -0.01664675 -2.21833422],[ -533.15540754 -1069.37208228   151.29792213],[-0.00338091  0.02020536  2.64581041]
[-794.22422885 -874.36585554   50.1504844 ],[-0.06806614 -0.01648662 -2.2179007 ],[ -533.14500643 -1069.37883102   151.28534303],[-0.00339187  0.02023355  2.64580969]
[-794.22678962 -874.36466971   50.16935056],[-0.06800706 -0.01672017 -2.21797304],[ -533.19307206 -1069.32578634   151.27264046],[-0.00310933  0.02046966  2.64542547]
[-794.23903249 -874.3251422    50.15800968],[-0.06759376 -0.01642435 -2.21799679],[ -533.26163402 -1069.13471487   151.2921284 ],[-2.22049050e-03  2.07729805e-02  2.64389849e+00]
[-794.19896273 -874.44859924   50.14362248],[-0.06823232 -0.0169822  -2.21780131],[ -533.15173182 -1069.36038552   151.27447079],[-0.00331196  0.02019756  2.6456725 ]
[-794.22779393 -874.38267594   50.13879028],[-0.06817192 -0.01635243 -2.21812197],[ -533.19017721 -1069.34482381   151.27478572],[-0.00319444  0.02053705  2.64569294]
[-794.21793416 -874.40205936   50.18486461],[-0.06833915 -0.01675831 -2.21821967],[ -533.16948245 -1069.35029082   151.28848705],[-0.0031714   0.02031933  2.64553326]
[-794.19742661 -874.44178443   50.13847644],[-0.06833717 -0.01682896 -2.21795013],[ -533.18858667 -1069.34958839   151.28398578],[-0.00328001  0.02060183  2.64566955]
[-794.2375877  -874.40189766   50.16745236],[-0.06825697 -0.01663772 -2.21764044],[ -533.16287671 -1069.38242578   151.27887777],[-0.0034897   0.020268    2.64582258]
[-794.20894339 -874.37649181   50.16735054],[-0.06845157 -0.01658053 -2.2177069 ],[ -533.17954473 -1069.31698187   151.28144034],[-0.00301028  0.0204916   2.64558186]
[-794.22190723 -874.38427461   50.14716633],[-0.06795267 -0.0167677  -2.21807167],[ -533.16741398 -1069.36698246   151.26189812],[-0.00343814  0.02033842  2.64557774]
[-796.41914536 -875.89339931   48.50990422],[-0.06422841  0.03293323 -2.22906897],[ -533.17608534 -1068.87650891   151.55283451],[4.94715678e-04 2.15245061e-02 2.64431760e+00]
[-796.36804053 -875.89482158   48.56841943],[-0.06500072  0.03259683 -2.22864479],[ -533.17730219 -1069.34730194   151.29235436],[-0.00321383  0.02033255  2.64564483]
[-796.39004806 -875.90544932   48.52395172],[-0.06413555  0.03364689 -2.22926765],[ -533.17204075 -1069.336738     151.29475231],[-0.00304171  0.0203608   2.64557097]
[-796.39690978 -875.87647994   48.52130019],[-0.06484448  0.03273771 -2.22872915],[ -533.19689769 -1069.36085377   151.28916642],[-0.00326837  0.02048026  2.64561707]
[-796.35905188 -875.88487807   48.54240109],[-0.06523641  0.03239283 -2.22848862],[ -533.17974609 -1069.34749357   151.26559465],[-0.00308988  0.02036696  2.64567363]
[-796.37478802 -875.87599278   48.57618273],[-0.06503126  0.03275203 -2.22858177],[ -533.18749655 -1069.34634782   151.28121355],[-0.00315922  0.02038022  2.64575045]
[-796.37795195 -875.90488946   48.58684963],[-0.06563311  0.03271155 -2.22884172],[ -533.14874857 -1069.33388528   151.29878328],[-0.00301519  0.02036944  2.64555797]
[-796.38672183 -875.85850398   48.53468372],[-0.06428033  0.03290757 -2.22915636],[ -533.15560051 -1069.39221444   151.29400212],[-0.00342338  0.02021301  2.64559054]
[-796.42558369 -875.87810038   48.50151961],[-0.06489849  0.03283853 -2.22828973],[ -533.17934949 -1069.34646646   151.26892356],[-0.00317019  0.02046296  2.64559592]
[-796.39640588 -875.90178561   48.53488976],[-0.06480207  0.03286036 -2.22903616],[ -533.18508947 -1069.40425656   151.27641993],[-0.00341366  0.02050956  2.645776  ]
[-796.35018149 -875.8874741    48.56916461],[-0.06469144  0.03291288 -2.22915963],[ -533.17775723 -1069.34566478   151.27829629],[-0.00315277  0.02020443  2.64569489]
[-796.37147996 -875.93999205   48.5736443 ],[-0.06507506  0.03271139 -2.22893705],[ -533.17059315 -1069.36896949   151.27699486],[-0.00332505  0.02042207  2.6458384 ]
[-796.26672871 -876.13942274   48.73993056],[-0.06683596  0.0289839  -2.23099591],[ -533.18810628 -1069.33108467   151.28521372],[-0.00309912  0.02052142  2.64559064]
