start_x,goal_x,position,height,width,vicon,margin_obstacle_horizontal,margin_obstacle_vertical,margin_knee,res_position,res_width
0.0,7.2,[0.952 1.272 2.3   4.2   4.8  ],[0.1 0.3 0.1 0.2 0.2],[0.1 0.1 0.2 0.2 0.2],[0 1],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
0.0,7.2,[0.951 1.272 2.3   4.2   4.8  ],[0.1 0.3 0.1 0.2 0.2],[0.1 0.1 0.2 0.2 0.2],[0 1],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
0.0,7.2,[0.951 1.272 2.3   4.2   4.8  ],[0.1 0.3 0.1 0.2 0.2],[0.1 0.1 0.2 0.2 0.2],[0 1],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
0.0,7.2,[0.951 1.272 2.3   4.2   4.8  ],[0.1 0.3 0.1 0.2 0.2],[0.1 0.1 0.2 0.2 0.2],[0 1],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
0.0,7.2,[1.272 2.3   3.364 4.2   4.8  ],[0.3 0.1 0.1 0.2 0.2],[0.1   0.2   0.105 0.2   0.2  ],[0 2],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
0.0,7.2,[2.3   3.382 4.2   4.8  ],[0.1 0.1 0.2 0.2],[0.2   0.101 0.2   0.2  ],[1],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
0.0,7.2,[2.3   3.382 4.2   4.8  ],[0.1 0.1 0.2 0.2],[0.2   0.101 0.2   0.2  ],[1],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
0.0,7.2,[2.3   3.382 4.2   4.8  ],[0.1 0.1 0.2 0.2],[0.2   0.101 0.2   0.2  ],[1],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
0.0,7.2,[2.3   3.382 4.2   4.8  ],[0.1 0.1 0.2 0.2],[0.2   0.101 0.2   0.2  ],[1],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
0.0,7.2,[2.3   3.382 4.2   4.8   6.176],[0.1 0.1 0.2 0.2 0.3],[0.2   0.101 0.2   0.2   0.2  ],[1 4],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
0.0,7.2,[2.3   3.382 4.2   4.8   6.181],[0.1 0.1 0.2 0.2 0.3],[0.2   0.101 0.2   0.2   0.201],[1 4],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
0.0,7.2,[2.3   3.382 4.2   4.8   6.177],[0.1 0.1 0.2 0.2 0.3],[0.2   0.101 0.2   0.2   0.2  ],[1 4],0.03,0.05,0.03,[1.2 2.  2.6 4.5],[0.4 0.4 0.4 0.4]
