x_start,z_start,obstacles,areas,t,v,theta,setup_time,solve_time,mppc_time
-0.01252724449812723,0,[0],[],[0.42374928 0.60778023 0.60778023],[1.87896583 2.7        2.7       ],[1.13446401 1.13446401 1.13446401],0.00661921501159668,0.010281562805175781,0.017589092254638672
0.38792143403816337,0,[0 1],[],[0.60778023 0.40918853 0.6176771 ],[2.7        2.6228763  2.20821871],[1.13446401 1.13446401 1.13446401],0.011823892593383789,0.0212099552154541,0.03392744064331055
1.188440619196733,0,[1 2],[0 1],[0.43671865 0.50563352 0.53631875 0.49456532],[2.6948401  1.80803522 2.16080739 2.06048668],[1.13446401 1.13446401 1.14726901 1.27375666],0.02159714698791504,0.04800844192504883,0.1196599006652832
1.754222887335388,0.3,[0 1],[0 1],[0.57327875 0.6460922  0.49664392],[2.16124027 2.7        2.20435998],[1.13446401 1.13446401 1.13446401],0.011435747146606445,0.019338130950927734,0.03169846534729004
2.6272093393368396,0,[2 3],[1],[0.54104641 0.50619072 0.60778023],[2.40243622 2.24695458 2.7       ],[1.13446401 1.13446401 1.13446401],0.011411190032958984,0.03342032432556152,0.045690298080444336
3.2850234341720745,0,[2 3 4],[2],[0.49730217 0.36027306 0.47330298 0.5443761 ],[2.16514394 2.20780859 2.10020188 2.01191323],[1.17142606 1.13446401 1.13446401 1.13446401],0.02882671356201172,0.06563472747802734,0.13315606117248535
3.8560409810974443,0,[3 4],[2],[0.38608902 0.44298186 0.66083543 0.33897453],[2.22948723 1.96484998 2.60255286 1.5       ],[1.17811361 1.13446401 1.13446401 1.13446401],0.02026963233947754,0.031560659408569336,0.0849151611328125
4.268728778957895,0.2,[3 4],[2],[0.47608896 0.68053247 0.33897453 0.33897453],[2.11263572 2.7        1.5        1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.02064347267150879,0.03446459770202637,0.07783770561218262
4.838375098003552,0.2,[4],[],[0.68053247 0.60778023 0.36799963],[2.7        2.7        1.62983824],[1.13446401 1.13446401 1.13446401],0.006320476531982422,0.00897836685180664,0.01602625846862793
5.079611276102886,0,[],[],[0.55328024 0.55328024 0.55328024],[2.456997 2.456997 2.456997],[1.13446401 1.13446401 1.13446401],0.0009343624114990234,0.0003597736358642578,0.0017666816711425781
5.775368147073851,0,[],[],[0.57479653 0.57479653],[2.5529438 2.5529438],[1.13446401 1.13446401],0.0006725788116455078,0.00030684471130371094,0.0013790130615234375
6.531260079178277,0,[],[],[0.55427555],[2.46143569],[1.13446401],0.0004763603210449219,0.0002765655517578125,0.0011353492736816406
