n,pitch_pos,pitch_vel,yaw_pos,yaw_vel
0,-0.14889201015759998,0.0,0.011990217012449733,0.0
1,-0.15206782975609998,0.0,0.011564777028499673,0.0
2,-0.15265505677619998,0.0,0.01145092689194982,0.0
3,-0.1534460156196,0.0,0.011343068867849748,0.0
4,-0.153877447716,0.0,0.011157313381899847,0.0
5,-0.15489610683250002,0.0,0.011037471132899768,0.0
6,-0.1559627028486,0.0,0.011079415920050018,0.0
7,-0.15693342506549998,0.0,0.011013502683099752,0.0
8,-0.1579640684069,0.0,0.01096556578349972,0.0
9,-0.1586471692262,0.0,0.011061439582699784,0.0
10,-0.1592104277965,0.0,0.011199258169049653,0.0
11,-0.16008527621420002,0.0,0.011355053092749756,0.0
12,-0.16061258210979998,0.0,0.0115707691409499,0.0
13,-0.1609721088568,0.0,0.01187636687589988,0.0
14,-0.16136758827849998,0.0,0.012229901510449892,0.0
15,-0.161906878399,0.0,0.01260740459479992,0.0
16,-0.16226640514600002,0.0,0.012942962891999699,0.0
17,-0.1631652220135,0.0,0.013308481751449719,0.0
18,-0.1633929222866,0.0,0.013709953285599763,0.0
19,-0.1637404648087,0.0,0.014129401157099597,0.0
20,-0.1640760231059,0.0,0.01459079381574968,0.0
21,-0.1646512659011,0.0,0.015082147036650007,0.0
22,-0.16477110815010002,0.0,0.015585484482449896,0.0
23,-0.16513063489709998,0.0,0.0161127903780498,0.0
24,-0.1652504771461,0.0,0.016706009510599973,0.0
25,-0.16522650869629998,0.0,0.017323197092949716,0.0
26,-0.1652384929212,0.0,0.017946376787749685,0.0
27,-0.165502145869,0.0,0.018581540707449662,0.0
28,-0.16564595656779998,0.0,0.019210712514699857,0.0
29,-0.165741830367,0.0,0.019863852771749624,0.0
30,-0.16588564106579998,0.0,0.020528977253699843,0.0
31,-0.16586167261600002,0.0,0.02118211751074961,0.0
32,-0.16586167261600002,0.0,0.021811289317999805,0.0
33,-0.1660174675397,0.0,0.022434469012799774,0.0
34,-0.1660054833148,0.0,0.02306364082004997,0.0
35,-0.16581373571639998,0.0,0.023680828402399712,0.0
36,-0.16587365684090002,0.0,0.024333968659449923,0.0
37,-0.1661732624634,0.0,0.024957148354249892,0.0
38,-0.16606540443929999,0.0,0.025574335936599635,0.0
39,-0.1661732624634,0.0,0.026179539294049814,0.0
40,-0.16620921513810002,0.0,0.026790734763949775,0.0
41,-0.16614929401359999,0.0,0.027365977559149712,0.0
42,-0.1661612782385,0.0,0.02792923612944964,0.0
43,-0.16620921513810002,0.0,0.028492494699750015,0.0
44,-0.16614929401359999,0.0,0.02903777693269971,0.0
45,-0.16636501006180002,0.0,0.0295411143784996,0.0
46,-0.16628112048750002,0.0,0.030044451824299934,0.0
47,-0.16638897851159998,0.0,0.03055977349499983,0.0
48,-0.1664249311863,0.0,0.031087079390599737,0.0
49,-0.16619723091320002,0.0,0.03159640894884985,0.0
50,-0.16619723091320002,0.0,0.03211173061954975,0.0
51,-0.16665263145939999,0.0,0.03264502862759988,0.0
52,-0.1663290573871,0.0,0.03314237396094999,0.0
53,-0.16647286808589998,0.0,0.0335558297199996,0.0
54,-0.16638897851159998,0.0,0.03392134857944962,0.0
55,-0.16588564106579998,0.0,0.03426889110154985,0.0
56,-0.1653463509453,0.0,0.03462841784854964,0.0
57,-0.1648430134995,0.0,0.035011913045349896,0.0
58,-0.1643396760537,0.0,0.03541937669194972,0.0
59,-0.16402808620630002,0.0,0.035802871888749976,0.0
60,-0.1639202281822,0.0,0.0361683907482,0.0
61,-0.1634288749613,0.0,0.03652791749519979,0.0
62,-0.1632371273629,0.0,0.03686347579240001,0.0
63,-0.1629015690657,0.0,0.03716308141489977,0.0
64,-0.1622304524713,0.0,0.03744471070004973,0.0
65,-0.16209862599740002,0.0,0.037720347872749915,0.0
66,-0.1617390992504,0.0,0.037984000820549646,0.0
67,-0.161667193901,0.0,0.0382536458807996,0.0
68,-0.16118782490500003,0.0,0.03848733826634998,0.0
69,-0.160828298158,0.0,0.03869107008964967,0.0
70,-0.1606605190094,0.0,0.038876825575600016,0.0
71,-0.1604088502865,0.0,0.03905059683664991,0.0
72,-0.16025305536280002,0.0,0.03921837598525002,0.0
73,-0.1597137652423,0.0,0.039398139358749695,0.0
74,-0.1597976548166,0.0,0.039583894844699596,0.0
75,-0.15976170214190002,0.0,0.039763658218199716,0.0
76,-0.15974971791700002,0.0,0.03993742947924961,0.0
77,-0.15977368636679998,0.0,0.040111200740299946,0.0
78,-0.1600493235395,0.0,0.040266995663999605,0.0
79,-0.1597137652423,0.0,0.04039283002544991,0.0
80,-0.1597257494672,0.0,0.040488703824649974,0.0
81,-0.1594740807443,0.0,0.04060854607364961,0.0
82,-0.15949804919410002,0.0,0.040734380435099915,0.0
83,-0.1597976548166,0.0,0.04083624634674976,0.0
84,-0.1598216232664,0.0,0.0408961674712498,0.0
85,-0.1600732919893,0.0,0.040938112258399606,0.0
86,-0.1601571815636,0.0,0.040950096483299614,0.0
87,-0.15986956016599999,0.0,0.04095608859574984,0.0
88,-0.1597377336921,0.0,0.040914143808600034,0.0
89,-0.15983360749130002,0.0,0.04084823057164977,0.0
90,-0.15986956016599999,0.0,0.04077033310979994,0.0
91,-0.1598216232664,0.0,0.040692435647949665,0.0
92,-0.1598935286158,0.0,0.04057858551139981,0.0
93,-0.15959392299330002,0.0,0.04045275114994995,0.0
94,-0.1595459860937,0.0,0.04033290890094987,0.0
95,-0.15966582834270002,0.0,0.04021905876440002,0.0
96,-0.15959392299330002,0.0,0.04010520862784972,0.0
