obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-939.91142224 -723.0744119    52.80035191],[-6.01056007e-02  1.38487441e-04 -2.44796930e+00],[  -78.77072177 -1153.48417275   149.21224746],[-0.07472357  0.01595101 -1.64528978]
[-939.63659588 -722.95089926   53.03293444],[-0.0615032  -0.0062722  -2.44492403],[  -78.76042224 -1153.49212112   149.16677289],[-0.07462523  0.01569896 -1.64510752]
[-939.65167242 -722.99755933   53.03152473],[-0.06174017 -0.00681503 -2.44560144],[  -78.75156188 -1153.54100804   149.18817171],[-0.074864    0.01576407 -1.6449024 ]
[-939.93272359 -723.06467055   52.80362666],[-6.03891635e-02  1.84308761e-04 -2.44793528e+00],[  -78.79636703 -1153.57820401   149.22426557],[-0.07512156  0.01634348 -1.64485199]
[-939.62162809 -723.00319396   53.0427444 ],[-0.06155817 -0.00655684 -2.4457005 ],[  -78.79840936 -1153.46663739   149.22422739],[-0.0747265   0.01623579 -1.64548367]
[-939.62299973 -722.97114801   53.06069264],[-0.06159565 -0.00712004 -2.44504253],[  -78.76395339 -1153.50404175   149.22126018],[-0.07449559  0.0160705  -1.6447796 ]
[-939.64282865 -723.0063986    53.04750953],[-0.06201086 -0.00642691 -2.44567602],[  -78.76972169 -1153.56514291   149.26576206],[-0.07494558  0.01628673 -1.6446782 ]
[-939.65546369 -723.00219561   53.03842871],[-0.06191884 -0.00640268 -2.44505419],[  -78.78144549 -1153.53514567   149.20340195],[-0.07505831  0.01595365 -1.64502506]
[-939.63334228 -722.99938823   53.01177508],[-0.06164055 -0.00667765 -2.44554371],[  -78.75972329 -1153.66956704   149.24832946],[-0.07561759  0.01609601 -1.64437085]
[-939.40307859 -722.75067027   53.28806938],[-0.06260649 -0.01418348 -2.4415779 ],[  -78.78471728 -1153.59052696   149.26160029],[-0.07513581  0.01634565 -1.64452893]
[-939.3808624  -722.7512576    53.36486348],[-0.06265384 -0.01485507 -2.44165783],[  -78.77844193 -1153.65627892   149.28933083],[-0.07566105  0.01636543 -1.64438621]
[-939.43013379 -722.68943255   53.48412124],[-0.06333388 -0.01718823 -2.44144996],[  -78.75255314 -1153.58588355   149.24264773],[-0.07497451  0.01611734 -1.64438489]
[-939.49392261 -722.69247595   53.47419154],[-0.06325297 -0.01645888 -2.44134837],[  -78.76710316 -1153.52501382   149.19706888],[-0.07505619  0.01579854 -1.64526876]
[-939.39776905 -722.77191735   53.34572605],[-0.0626063  -0.01446118 -2.44172475],[  -78.79126223 -1153.52035862   149.23178475],[-0.07481177  0.01621254 -1.64499708]
[-939.39000088 -722.76427932   53.32443986],[-0.06245908 -0.0146713  -2.44193676],[  -78.78345092 -1153.49448415   149.24601233],[-0.07470824  0.0161593  -1.64503479]
[-939.40239388 -722.73825397   53.32359653],[-0.06262516 -0.01463395 -2.44138504],[  -78.78309005 -1153.44870186   149.19204504],[-0.07451482  0.01604533 -1.64558407]
[-939.38785753 -722.78608995   53.31623975],[-0.06267019 -0.01441906 -2.44164815],[  -78.78358939 -1153.5345821    149.23888277],[-0.07480461  0.01626391 -1.64476387]
[-939.3768957  -722.76648145   53.30799761],[-0.06256003 -0.01454958 -2.44164034],[  -78.77396357 -1153.49622443   149.18851792],[-0.07458388  0.01586957 -1.64513734]
[-939.37691158 -722.73961285   53.328592  ],[-0.06213486 -0.01469479 -2.44191693],[  -78.76768402 -1153.47713339   149.20750367],[-0.07447268  0.01592286 -1.64497077]
[-939.38348579 -722.72375873   53.31878335],[-0.06189629 -0.01445711 -2.44152006],[  -78.79481658 -1153.55703498   149.24725823],[-0.07524089  0.01629916 -1.64508211]
[-939.9088085  -723.11988471   52.80120508],[-6.08907699e-02  2.67551411e-04 -2.44798863e+00],[  -78.72084382 -1153.82130338   149.28126668],[-0.07643568  0.0160717  -1.64361008]
[-940.08109995 -722.95491382   52.94575427],[-6.07205165e-02 -1.51908750e-03 -2.44769986e+00],[  -78.7553226  -1153.51385849   149.21114991],[-0.07477153  0.01589423 -1.64487831]
[-939.65979295 -722.99608657   53.0104986 ],[-0.06152664 -0.00621829 -2.44556935],[  -78.74628571 -1153.54072933   149.19195116],[-0.07491353  0.01582938 -1.64500694]
[-939.65061616 -723.00236831   53.04069924],[-0.06172044 -0.00645531 -2.4456288 ],[  -78.79699806 -1153.45338665   149.23097767],[-0.07448582  0.01618406 -1.64524268]
[-939.91190611 -723.12106876   52.81647575],[-6.08257646e-02  5.60132384e-05 -2.44774799e+00],[  -78.78033475 -1153.55260916   149.24812633],[-0.07520417  0.01614704 -1.64515593]
[-939.63277173 -722.99492263   53.03166981],[-0.06131107 -0.006769   -2.44548877],[  -78.75394572 -1153.53623963   149.20552865],[-0.07493514  0.01595112 -1.64491441]
[-939.65187096 -723.01113487   53.04052487],[-0.0617399  -0.00654344 -2.44556357],[  -78.76895728 -1153.5335452    149.23014726],[-0.07490137  0.01608408 -1.64490447]
[-939.64317146 -723.0029719    53.03173043],[-0.06167408 -0.00652592 -2.44609733],[  -78.82219053 -1153.03788981   149.0315919 ],[-0.07242511  0.01542763 -1.64753608]
[-939.67026627 -722.98178287   53.01977894],[-0.06163656 -0.00627748 -2.44544638],[  -78.76001227 -1153.46528498   149.1925404 ],[-0.0743557   0.01573697 -1.64516743]
[-939.64185365 -722.99150129   53.06953516],[-0.06139605 -0.0065548  -2.44560141],[  -78.76480575 -1153.55517105   149.23219008],[-0.07514316  0.01605933 -1.64479802]
[-939.67761498 -723.0062509    53.00959483],[-0.06139164 -0.00558369 -2.44585719],[  -78.7566466  -1153.6081102    149.25791126],[-0.07527976  0.01627512 -1.64443373]
[-939.63634773 -722.99031523   53.03713053],[-0.06145577 -0.00624711 -2.44547765],[  -78.71315135 -1153.73578166   149.23489572],[-0.07580188  0.01585225 -1.64396276]
[-939.92879349 -723.10018654   52.78670244],[-6.03054882e-02  1.27099055e-04 -2.44853857e+00],[  -78.79163556 -1153.54484618   149.25165341],[-0.07528224  0.01636232 -1.64523057]
[-939.66715906 -722.9708031    53.03442906],[-0.06137271 -0.00617306 -2.44583819],[  -78.79851609 -1153.46990198   149.21939029],[-0.07481716  0.01607762 -1.64540358]
[-939.64524797 -723.00304418   53.05731178],[-0.06140071 -0.00674693 -2.44578997],[  -78.73894804 -1153.68511144   149.24981771],[-0.07577572  0.01597044 -1.64436954]
[-939.63141964 -722.97170866   53.06472547],[-0.06107149 -0.00662061 -2.44551687],[  -78.80462273 -1153.45786781   149.22419914],[-0.07428074  0.01620971 -1.64525483]
[-939.6673696  -722.97847911   53.03021594],[-0.06171945 -0.00659035 -2.44541743],[  -78.73921276 -1153.4422901    149.1609343 ],[-0.07425899  0.01553651 -1.64518227]
[-939.63427397 -723.00459286   53.03242842],[-0.06171815 -0.00660758 -2.44574703],[  -78.73780629 -1153.54305185   149.21220443],[-0.07477347  0.01576899 -1.64465806]
[-939.64270569 -723.01373297   53.03623345],[-0.0613869  -0.00665563 -2.44564359],[  -78.78085203 -1153.52808727   149.22547603],[-0.07511167  0.01610298 -1.64512258]
[-939.95753081 -723.061588     52.78286373],[-6.03207404e-02  3.25484098e-04 -2.44819577e+00],[  -78.76869267 -1153.56645688   149.21405833],[-0.07498672  0.01596931 -1.6448205 ]
[-940.11724784 -722.93925843   52.94573838],[-6.05412891e-02 -1.43738089e-03 -2.44803837e+00],[  -78.77149864 -1153.46549834   149.22641136],[-0.07438679  0.01604746 -1.64510761]
[-939.6280679  -722.99803292   53.05881036],[-0.06161206 -0.00683527 -2.44531863],[  -78.79339249 -1153.46494903   149.20475475],[-0.07463471  0.01607312 -1.64535609]
[-939.65937448 -722.99558427   53.03987452],[-0.06144803 -0.00626733 -2.44562024],[  -78.77783904 -1153.5763813    149.23762147],[-0.07535107  0.01617339 -1.64510811]
[-939.65976583 -722.96193195   53.01088163],[-0.06139905 -0.00635079 -2.44522173],[  -78.76427099 -1153.46432649   149.17802097],[-0.07467583  0.01579787 -1.64537628]
[-939.63792948 -722.99369955   53.03657194],[-0.06131671 -0.00651295 -2.44577968],[  -78.7625623  -1153.47857869   149.20132491],[-0.07463676  0.01589381 -1.64508338]
[-939.65393859 -722.97257874   53.04852235],[-0.06175321 -0.00651668 -2.44507972],[  -78.80913523 -1153.04449426   149.03336444],[-0.0724388   0.01533091 -1.6475289 ]
[-939.64652609 -723.00448626   53.04547693],[-0.06159338 -0.00659675 -2.4454982 ],[  -78.76847906 -1153.48249473   149.21802081],[-0.07469491  0.01593796 -1.64511274]
[-939.63567385 -723.02700205   53.04637275],[-0.06183393 -0.00665026 -2.44548932],[  -78.76965923 -1153.47462748   149.20035165],[-0.07471048  0.01591806 -1.64547262]
[-939.67813019 -722.9602329    53.02177366],[-0.06115023 -0.00620029 -2.44509846],[  -78.81747916 -1153.00815178   149.01906877],[-0.07233572  0.01525606 -1.64775907]
[-939.7752938  -722.90631064   53.14830604],[-0.06188051 -0.0085763  -2.44567026],[  -78.75350507 -1153.61116371   149.21858969],[-0.07527215  0.01604208 -1.64482348]
[-939.76477568 -722.92227792   53.18085334],[-0.06219171 -0.0087662  -2.44561929],[  -78.77813372 -1153.54951508   149.20487297],[-0.07514657  0.01599036 -1.64517655]
