obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-897.65029444 -757.46824571   52.36326672],[-0.07028594 -0.04290418 -2.45370177],[-976.37228017 1824.22079473  875.5731389 ],[-8.57886804e-04  5.75061511e-04  1.62961865e+00]
[-897.93023898 -757.72749005   52.26767513],[-0.07473307 -0.04161612 -2.44820362],[-976.38961231 1824.21677127  875.54893838],[-7.40327339e-04  7.34293994e-04  1.62967880e+00]
[-901.47142121 -758.18129739   52.81737855],[-0.05198754 -0.00258049 -2.41406043],[-976.36923531 1824.2211091   875.5773278 ],[-9.75786161e-04  6.00359541e-04  1.62990593e+00]
[-901.45995694 -758.16260462   52.84511373],[-0.05166652 -0.0028282  -2.41451844],[-976.3521295  1824.22394447  875.57630513],[-1.24049854e-03  5.04439491e-04  1.62995368e+00]
[-901.4805275  -758.20215361   52.83025234],[-0.05212818 -0.00271887 -2.41408771],[-976.33732458 1824.23745796  875.55484764],[-1.18123401e-03  5.01038214e-04  1.62986203e+00]
[-901.46341751 -758.19671106   52.84239756],[-0.05190707 -0.00269599 -2.41409414],[-976.34388368 1824.25174622  875.5674502 ],[-9.33927297e-04  6.10563778e-04  1.62961509e+00]
[-901.44650195 -758.20732034   52.87683695],[-0.0517991  -0.00247359 -2.41421517],[-976.21765738 1824.05135966  875.41482728],[-2.29000341e-03 -2.51036635e-04  1.63023198e+00]
[-901.48204203 -758.1790553    52.82741071],[-0.05205008 -0.00245038 -2.41398006],[-976.36478254 1824.21322868  875.58690756],[-1.08310160e-03  5.83091788e-04  1.62977129e+00]
[-901.4645405  -758.17670634   52.85406465],[-5.19664600e-02 -2.37943649e-03 -2.41469844e+00],[-975.94415955 1823.88784614  875.26490303],[-0.00263407 -0.00231223  1.63239076]
[-901.48181829 -758.20534868   52.84241874],[-0.05205525 -0.00281903 -2.41425543],[-976.33213647 1824.22425701  875.56649831],[-9.82881547e-04  4.31781112e-04  1.62998622e+00]
[-901.42091485 -758.19780775   52.83835156],[-0.0517766  -0.00287381 -2.41449361],[-976.23105284 1824.06054152  875.38615628],[-2.16467032e-03 -1.06131378e-04  1.62996742e+00]
[-901.45856772 -758.17829346   52.85057124],[-0.05158759 -0.00246755 -2.41413812],[-976.20460696 1824.09141546  875.42476713],[-2.27442572e-03 -2.84156703e-04  1.63032182e+00]
[-901.45520809 -758.18511005   52.85112442],[-0.05194493 -0.00290379 -2.41431208],[-976.20998633 1824.07997607  875.40002046],[-2.25457142e-03 -2.48773382e-04  1.63008846e+00]
[-901.4676162  -758.18491145   52.80510566],[-0.05219766 -0.00292532 -2.4140522 ],[-976.31898374 1824.2322793   875.59333649],[-1.15537670e-03  4.44474167e-04  1.62983366e+00]
[-901.45920436 -758.20460306   52.87429953],[-0.0516913  -0.00286205 -2.4140696 ],[-976.17829552 1824.01989657  875.41191699],[-2.31193535e-03 -3.24888728e-04  1.63016513e+00]
[-901.45707753 -758.20577285   52.83040623],[-0.05176133 -0.0030942  -2.41449595],[-976.10474662 1824.10187166  875.42826683],[-1.34115399e-03 -8.86828432e-04  1.63133904e+00]
[-901.46833171 -758.19176937   52.83864375],[-0.05200581 -0.00265952 -2.41449912],[-976.39948343 1824.21473995  875.57331599],[-1.05744230e-03  6.22432834e-04  1.62943188e+00]
[-901.49256614 -758.15481308   52.8511193 ],[-0.05140254 -0.00245258 -2.41467641],[-976.39326127 1824.23214911  875.57543739],[-1.10446514e-03  6.25834705e-04  1.62965191e+00]
[-901.47609136 -758.16099215   52.81312508],[-0.05150555 -0.00268876 -2.41454568],[-976.37611246 1824.24614619  875.55190304],[-8.04433924e-04  4.83560889e-04  1.62951736e+00]
[-901.48271979 -758.19005794   52.83624669],[-0.05187956 -0.00267199 -2.4138598 ],[-976.33040534 1824.24437084  875.59950282],[-1.21825819e-03  4.17161420e-04  1.62993677e+00]
[-901.4506965  -758.20819613   52.82312008],[-0.0521559  -0.00276846 -2.41404502],[-976.17122992 1824.07349716  875.3897272 ],[-2.25967209e-03 -1.48962030e-04  1.63034967e+00]
[-901.46919523 -758.20813951   52.83022153],[-0.05224547 -0.00324865 -2.41428921],[-976.32503755 1824.20290428  875.58822058],[-1.14635895e-03  4.96982254e-04  1.62979053e+00]
[-901.40460922 -758.25567535   52.91045355],[-0.05323045 -0.00254354 -2.41254249],[-976.05442139 1824.10833053  875.47528836],[-1.50021618e-03 -9.04844784e-04  1.63147328e+00]
[-901.47216539 -758.18153135   52.818467  ],[-0.05202744 -0.00298704 -2.41440281],[-976.3326784  1824.17231412  875.5504481 ],[-1.12567291e-03  4.64278079e-04  1.62985541e+00]
[-901.4742075  -758.17517932   52.84747641],[-0.05168379 -0.00260283 -2.41485483],[-976.34599387 1824.20752851  875.57578598],[-1.03020485e-03  6.28360435e-04  1.62983201e+00]
[-901.45042997 -758.17316236   52.87019905],[-5.08644945e-02 -2.22685854e-03 -2.41474233e+00],[-976.23714552 1824.05051134  875.39495647],[-2.05735075e-03 -1.05339613e-04  1.63023342e+00]
[-901.4453123  -758.17514128   52.8098761 ],[-0.05178879 -0.00250305 -2.4141518 ],[-976.35956229 1824.27721428  875.57970711],[-9.36661247e-04  6.05884497e-04  1.62982047e+00]
