n,pitch_pos,pitch_vel,yaw_pos,yaw_vel
0,-0.14764565076799996,0.0,0.010330401863799743,0.0
1,-0.15058178586849996,0.0,0.009839048642899861,0.0
2,-0.1512049655633,0.0,0.009719206393899782,0.0
3,-0.15192401905729996,0.0,0.009605356257349928,0.0
4,-0.1527269621256,0.0,0.009329719084649746,0.0
5,-0.15352990519389997,0.0,0.009197892610750102,0.0
6,-0.15463245388469998,0.0,0.009215868948099892,0.0
7,-0.1554234127281,0.0,0.009137971486250063,0.0
8,-0.15670572479239997,0.0,0.009090034586650031,0.0
9,-0.15735287293699995,0.0,0.009179916273399868,0.0
10,-0.15822772135469998,0.0,0.00928777429749994,0.0
11,-0.1589228063989,0.0,0.009455553446100051,0.0
12,-0.1594261438447,0.0,0.009683253719199758,0.0
13,-0.15996543396519997,0.0,0.009970875116799949,0.0
14,-0.16064853478449997,0.0,0.010300441301549945,0.0
15,-0.16130766715399997,0.0,0.010653975936099958,0.0
16,-0.16163124122629996,0.0,0.01102548690799976,0.0
17,-0.16205068909779996,0.0,0.011385013654999998,0.0
18,-0.1626139476681,0.0,0.011774500964250034,0.0
19,-0.16315323778859997,0.0,0.012175972498400078,0.0
20,-0.1638722912826,0.0,0.012643357269499944,0.0
21,-0.1636206225597,0.0,0.013140702602850052,0.0
22,-0.16431570760389996,0.0,0.013668008498449957,0.0
23,-0.1644595183027,0.0,0.014225274956300105,0.0
24,-0.16465126590109996,0.0,0.014818494088849832,0.0
25,-0.16490293462399996,0.0,0.015423697446300011,0.0
26,-0.1649628557485,0.0,0.01604687714109998,0.0
27,-0.16501079264809998,0.0,0.01667005683589995,0.0
28,-0.16499880842319997,0.0,0.017311212868049708,0.0
29,-0.1652744455959,0.0,0.017940384675299903,0.0
30,-0.16541825629469997,0.0,0.018563564370099872,0.0
31,-0.16568190924249998,0.0,0.019204720402250075,0.0
32,-0.16533436672039997,0.0,0.01985186854685006,0.0
33,-0.16572984614209996,0.0,0.020469056129199803,0.0
34,-0.16574183036699996,0.0,0.021080251599099764,0.0
35,-0.1657178619172,0.0,0.021661486506749927,0.0
36,-0.165861672616,0.0,0.022248713526849873,0.0
37,-0.1656339723429,0.0,0.022853916884300052,0.0
38,-0.1658856410658,0.0,0.023471104466649795,0.0
39,-0.16635302583689998,0.0,0.024076307824099974,0.0
40,-0.16598151486499996,0.0,0.024675519069099927,0.0
41,-0.16600548331479997,0.0,0.025250761864299864,0.0
42,-0.1659575464152,0.0,0.025796044097250004,0.0
43,-0.16601746753969998,0.0,0.026335334217749917,0.0
44,-0.16599349908989997,0.0,0.026892600675600065,0.0
45,-0.1659575464152,0.0,0.027449867133449768,0.0
46,-0.16557405121839996,0.0,0.028025109928649705,0.0
47,-0.1659575464152,0.0,0.028564400049150063,0.0
48,-0.16590960951559997,0.0,0.029103690169649976,0.0
49,-0.16608937288909997,0.0,0.029636988177700108,0.0
50,-0.1657897672666,0.0,0.03011635717369998,0.0
51,-0.1656100038931,0.0,0.03055977349499983,0.0
52,-0.16532238249549996,0.0,0.030991205591399673,0.0
53,-0.16483102927459997,0.0,0.031464582474949765,0.0
54,-0.1645194394272,0.0,0.032009864707899904,0.0
55,-0.16400411775649998,0.0,0.03260907595289986,0.0
56,-0.1639322124071,0.0,0.03314836607339977,0.0
57,-0.16339292228659996,0.0,0.033651703519200105,0.0
58,-0.16334498538699999,0.0,0.03408313561559995,0.0
59,-0.1626019634432,0.0,0.03450258348709978,0.0
60,-0.16206267332269997,0.0,0.03488008657144981,0.0
61,-0.1615233832022,0.0,0.035251597543350055,0.0
62,-0.16133163560379998,0.0,0.03561112429034985,0.0
63,-0.16088821928249997,0.0,0.036018587936949675,0.0
64,-0.16062456633469996,0.0,0.036426051583549945,0.0
65,-0.16049273986079998,0.0,0.03684549945504978,0.0
66,-0.1603369449371,0.0,0.03734284478839989,0.0
67,-0.16021710268809997,0.0,0.037720347872749915,0.0
68,-0.16004932353949997,0.0,0.038085866732199936,0.0
69,-0.15962987566799997,0.0,0.03843940136674995,0.0
70,-0.15940217539489998,0.0,0.03879892811374974,0.0
71,-0.15921042779649996,0.0,0.03912849429849974,0.0
72,-0.15956995454349998,0.0,0.03945206837079995,0.0
73,-0.1595220176439,0.0,0.03975167399329971,0.0
74,-0.1593302700455,0.0,0.0400093348286501,0.0
75,-0.1590066959732,0.0,0.040231042989300025,0.0
76,-0.15905463287279997,0.0,0.0404108063627997,0.0
77,-0.15889883794909998,0.0,0.040548624949150014,0.0
78,-0.1589228063989,0.0,0.0406804514230501,0.0
79,-0.15888685372419997,0.0,0.040794301559599955,0.0
80,-0.15853931120209996,0.0,0.040980057045549856,0.0
81,-0.1588389168246,0.0,0.04112386774434995,0.0
82,-0.15886288527439996,0.0,0.04121374943109979,0.0
83,-0.1588509010495,0.0,0.04132160745519986,0.0
84,-0.15904264864789996,0.0,0.0414114891419497,0.0
85,-0.15853931120209996,0.0,0.041465418153999956,0.0
86,-0.15877899570009996,0.0,0.041423473366849706,0.0
87,-0.158671137676,0.0,0.041345575904999876,0.0
88,-0.15873105880049998,0.0,0.04132160745519986,0.0
89,-0.1585752638768,0.0,0.04130962323029985,0.0
90,-0.1576764470093,0.0,0.041477402378899964,0.0
91,-0.15669374056749996,0.0,0.04205863728654968,0.0
92,-0.15471634345899998,0.0,0.04398210538299985,0.0
93,-0.1521397351055,0.0,0.04567787320634986,0.0
94,-0.1499825746235,0.0,0.04715792498149973,0.0
95,-0.1469505657238,0.0,0.048913613929349786,0.0
