x_start,z_start,obstacles,areas,t,v,theta,setup_time,solve_time,mppc_time
-0.011244719949401467,0,[0],[],[0.53463368 0.51295915 0.60778023],[2.3738344  2.27715057 2.7       ],[1.13446401 1.13446401 1.13446401],0.005534172058105469,0.009223461151123047,0.015322446823120117
0.5722128853098853,0,[0],[0],[0.45880586 0.58177095 0.60778023],[2.03549438 2.5840415  2.7       ],[1.13446401 1.13446401 1.13446401],0.006575345993041992,0.01326298713684082,0.020482301712036133
1.1146134372708827,0,[1],[0 1],[0.56220327 0.42994117 0.6460922 ],[2.49678897 2.16325357 2.7       ],[1.13446401 1.13446401 1.13446401],0.006799459457397461,0.015153884887695312,0.022612333297729492
1.7941057194040093,0,[0],[0 1],[0.40213545 0.6460922  0.58241682],[2.05679402 2.7        2.58692123],[1.13446401 1.13446401 1.13446401],0.006838798522949219,0.01596689224243164,0.023465633392333984
2.3067108510330656,0.1,[0],[1],[0.6460922  0.60778023 0.39537226],[2.7        2.7        1.75219423],[1.13446401 1.13446401 1.13446401],0.006504058837890625,0.010584115982055664,0.017752647399902344
3.1783341853830187,0,[1],[2],[0.46637024 0.39545525 0.54322112 0.44836384],[2.06925929 2.31059427 2.00590099 1.98887901],[1.13446401 1.13446401 1.13446401 1.13446401],0.011298656463623047,0.010872602462768555,0.03844285011291504
3.7174441544762433,0,[1 2],[2],[0.41885371 0.68053232 0.52895685],[2.38394822 2.7        2.34851271],[1.13446401 1.13446401 1.13446401],0.011948347091674805,0.022661447525024414,0.03543233871459961
4.251939930734392,0.2,[1 2],[2],[0.47608923 0.68053247 0.33897453 0.33897453],[2.11263692 2.7        1.5        1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.019963502883911133,0.0324101448059082,0.0707700252532959
4.798512353658042,0.2,[2],[],[0.68053247 0.60778023 0.36799953],[2.7        2.7        1.62983779],[1.13446401 1.13446401 1.13446401],0.0062906742095947266,0.008958101272583008,0.015918731689453125
5.695893505797306,0,[],[],[0.55328024 0.55328024 0.55328024],[2.456997 2.456997 2.456997],[1.13446401 1.13446401 1.13446401],0.0009143352508544922,0.0003452301025390625,0.0016973018646240234
6.370293238545985,0,[],[],[0.55328024 0.55328024 0.55328024],[2.456997 2.456997 2.456997],[1.13446401 1.13446401 1.13446401],0.0008974075317382812,0.00032520294189453125,0.0016374588012695312
7.046890153022952,0,[3],[],[0.60778023 0.42374942 0.60778023],[2.7        1.87896648 2.7       ],[1.13446401 1.13446401 1.13446401],0.006403684616088867,0.010607242584228516,0.017622947692871094
7.858784056529039,0,[3],[3],[0.33897453 0.60778023 0.52038499 0.33897453],[1.5        2.7        2.31027727 1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.011213064193725586,0.0197906494140625,0.04449200630187988
8.185059952603076,0,[3 4],[3],[0.60778023 0.41652279 0.61275527],[2.7        2.11159065 2.54211017],[1.13446401 1.13446401 1.13446401],0.006684303283691406,0.007607460021972656,0.014913797378540039
8.973669879311418,0,[4],[3 4],[0.4147353  0.6460922  0.57351253],[2.10474785 2.7        2.54721852],[1.13446401 1.13446401 1.13446401],0.006398439407348633,0.01102590560913086,0.01806473731994629
9.443395098617076,0.1,[4],[4],[0.6460922  0.60778023 0.39537229],[2.7        2.7        1.75219435],[1.13446401 1.13446401 1.13446401],0.0061643123626708984,0.010451793670654297,0.01722097396850586
10.310207481426545,0,[5],[5],[0.62789782 0.38338622 0.67601697],[2.69640949 2.27421767 2.6777111 ],[1.2068351  1.13446401 1.13446401],0.006226062774658203,0.01269388198852539,0.019538402557373047
11.011430088495226,0,[5 6],[5],[0.37853139 0.66714737 0.62318395],[2.25990289 2.63384279 2.69846273],[1.13446401 1.13446401 1.18764995],0.011934280395507812,0.02150273323059082,0.034296274185180664
11.482928662949641,0.2,[5 6],[5],[0.47608896 0.68053247 0.33897453 0.33897453],[2.11263572 2.7        1.5        1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.02059197425842285,0.03830289840698242,0.08166766166687012
12.06534159949401,0.2,[6 7],[],[0.67404307 0.40601554 0.59056093],[2.66795817 2.61502262 2.06272569],[1.13446401 1.13446401 1.13446401],0.011599302291870117,0.058798789978027344,0.07124495506286621
12.985532061813537,0,[6],[],[0.41756649 0.58920159 0.33897453],[2.59047648 2.05537211 1.5       ],[1.17387846 1.13446401 1.13446401],0.006361722946166992,0.00854039192199707,0.022511959075927734
13.419929453115635,0.3,[7],[],[0.61958355 0.33897453],[2.2183663 1.5      ],[1.13446401 1.13446401],0.0030252933502197266,0.0029091835021972656,0.0064334869384765625
14.16553631201295,0,[],[],[0.36219447],[1.5],[1.26235948],0.0004642009735107422,0.0004067420959472656,0.0012478828430175781
