x_start,z_start,obstacles,areas,t,v,theta,setup_time,solve_time,mppc_time
-0.011449628505413811,0,[],[],[0.55328024 0.55328024 0.55328024],[2.456997 2.456997 2.456997],[1.13446401 1.13446401 1.13446401],0.001046895980834961,0.0004622936248779297,0.0019412040710449219
0.47760868637649256,0,[],[],[0.55328024 0.55328024 0.55328024],[2.456997 2.456997 2.456997],[1.13446401 1.13446401 1.13446401],0.0009891986846923828,0.0003654956817626953,0.0017955303192138672
1.143765827106479,0,[0 1],[0 1],[0.54824446 0.4476047  0.6460922 ],[2.43453895 2.2319969  2.7       ],[1.13446401 1.13446401 1.13446401],0.011629819869995117,0.01607370376586914,0.02861309051513672
1.7839951350938716,0,[1],[0 1],[0.40840218 0.6460922  0.57803943],[2.080582   2.7        2.56740352],[1.13446401 1.13446401 1.13446401],0.006506919860839844,0.016361713409423828,0.023540973663330078
2.227763724987975,0.1,[1],[1],[0.6460922  0.60778023 0.3953723 ],[2.7       2.7       1.7521944],[1.13446401 1.13446401 1.13446401],0.006409168243408203,0.01032710075378418,0.017386674880981445
3.1032367884699337,0,[2],[2],[0.56794386 0.36424236 0.68053247],[2.52238757 2.2188847  2.7       ],[1.13446401 1.13446401 1.13446401],0.006508350372314453,0.014376640319824219,0.021558046340942383
3.7980296165888747,0,[2 3 4],[2],[0.36297082 0.46636355 0.47898606 0.53975403],[2.21532109 2.06922944 2.35592201 1.78340512],[1.13446401 1.13446401 1.13446401 1.13446401],0.029865503311157227,0.05595278739929199,0.12559866905212402
4.2294732835647135,0.2,[2 3 4],[2],[0.54057398 0.68053247 0.46108588],[2.40032916 2.7        2.04567201],[1.13446401 1.13446401 1.13446401],0.016937732696533203,0.02696681022644043,0.045026540756225586
4.897342927856124,0.2,[3 4],[],[0.4274645  0.71208093 0.33897453 0.33897453],[2.15367995 2.7        1.5        1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.02001500129699707,0.03331756591796875,0.08601570129394531
5.37672466816086,0.3,[4],[],[0.71208093 0.52612741 0.33897453],[2.7        2.33589265 1.5       ],[1.13446401 1.13446401 1.13446401],0.006222963333129883,0.008689403533935547,0.015654325485229492
6.217207768928285,0,[],[],[0.46143955 0.46143955],[2.04725068 2.04725068],[1.13446401 1.13446401],0.0007290840148925781,0.00031876564025878906,0.0014789104461669922
6.769989929263726,0,[],[],[0.42460225],[1.88277539],[1.13446401],0.00048661231994628906,0.00027942657470703125,0.0011610984802246094
