obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-659.90579569 1828.86450081  780.19475593],[-6.05117839e-02  4.23337322e-04 -2.76464648e+00],[-927.3689055  1784.45476333  875.35679019],[-0.01501747  0.01405643  2.86135346]
[-659.8411704  1829.17906917  779.98731262],[-0.06081919 -0.00351799 -2.76835016],[-927.33742777 1784.53496777  875.35735136],[-0.01527781  0.01425996  2.86180443]
[-659.92750862 1829.27206822  780.02965309],[-0.06082908 -0.00366081 -2.76838976],[-927.38935607 1784.56465273  875.34060954],[-0.01491876  0.01348336  2.86122708]
[-659.89145308 1829.14671991  780.06291562],[-0.06122566 -0.00368376 -2.7685409 ],[-927.4515412  1784.52431144  875.40649575],[-0.01532127  0.0140262   2.86059363]
[-659.90435281 1829.19811936  780.15898372],[-0.06072054 -0.00469537 -2.76766917],[-927.35056738 1784.48299652  875.40219435],[-0.0148215   0.0140512   2.86156582]
[-659.88593255 1828.8471676   780.27260863],[-6.13877929e-02 -7.12981959e-04 -2.76434410e+00],[-927.40652839 1784.43845814  875.36970464],[-0.01478567  0.01371095  2.86136466]
[-659.85794652 1828.80583803  780.23258947],[-6.14075462e-02 -1.03781651e-03 -2.76449569e+00],[-927.08197703 1783.53163728  874.94601484],[-0.01995517  0.01350644  2.85883803]
[-659.84851066 1828.78898166  780.18273199],[-6.13787355e-02 -6.82551622e-04 -2.76428651e+00],[-927.42118503 1784.48570055  875.33630137],[-0.01502082  0.01410982  2.86145975]
[-659.92466786 1829.16636703  779.99124893],[-0.06017571 -0.00299546 -2.76880412],[-927.3826593  1784.50456974  875.36447574],[-0.01494452  0.01399388  2.86134275]
[-659.93118173 1829.19201969  780.05473191],[-0.06069754 -0.00350055 -2.76901084],[-927.44995692 1784.56881501  875.38236151],[-0.01488821  0.0141585   2.86093261]
[-659.93897477 1829.22397242  780.16918366],[-0.06114572 -0.0041405  -2.7685283 ],[-927.33225026 1784.52236412  875.44142709],[-0.01513505  0.01355238  2.86161201]
[-659.92576818 1829.19891988  780.08107035],[-0.06052853 -0.00326418 -2.76890266],[-927.39772624 1784.49016264  875.37707978],[-0.01530663  0.0138458   2.86104222]
[-659.91062647 1829.14288404  779.99647078],[-0.05989016 -0.00326198 -2.76937224],[-927.29425907 1783.69392796  875.19135209],[-0.0198897   0.01897969  2.85880433]
[-660.1135499  1829.22636814  780.03962738],[-0.06140048 -0.00356092 -2.77139408],[-927.34504122 1783.70092018  875.14805629],[-0.01982013  0.01923483  2.85861418]
[-659.89877169 1829.05055122  780.05341192],[-0.06158966 -0.00364424 -2.76890663],[-927.58336778 1784.57525085  875.65001853],[-0.01531479  0.01902723  2.86161938]
[-659.9434282  1829.14810232  780.11006721],[-0.06044477 -0.00328016 -2.768223  ],[-927.56280021 1784.61976679  875.650368  ],[-0.01532272  0.01903385  2.8619173 ]
