obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-1861.90123066  2493.8263084    782.62834864],[-0.00921359 -0.02952071 -1.88753432],[-895.00668374 -754.42998765  151.20334819],[ 0.01941245 -0.02913325  0.61074966]
[-1862.05550056  2493.89056487   783.01338527],[-0.01419025 -0.03240272 -1.88912687],[-895.00939311 -754.28780976  151.27675371],[ 0.02070367 -0.02877763  0.6101148 ]
[-1861.86682885  2493.85263837   782.97957653],[-0.0146158  -0.03320133 -1.88726406],[-894.99588374 -754.47993599  151.20408542],[ 0.01949163 -0.02917773  0.611253  ]
[-1861.93170299  2493.8198216    782.9050354 ],[-0.01440302 -0.03191513 -1.88850483],[-895.01243929 -754.48753595  151.2062944 ],[ 0.01923401 -0.02903962  0.61114282]
[-1862.44044806  2494.31312035   783.12233224],[-0.01297228 -0.0168228  -1.88953326],[-895.01563128 -754.33864385  151.23937576],[ 0.02019854 -0.02876316  0.61038961]
[-1862.42394077  2494.25743582   783.12519149],[-0.01445908 -0.01603768 -1.89008097],[-894.95491101 -754.44025785  151.20244353],[ 0.01947522 -0.02935731  0.61106389]
[-1862.19490385  2494.22443326   783.22113378],[-0.01649187 -0.01950217 -1.88742322],[-894.99895182 -754.42283777  151.21565685],[ 0.01971879 -0.02917829  0.61084625]
[-1862.47851436  2494.25984553   782.93248617],[-0.00984013 -0.0131063  -1.88972459],[-894.97522123 -754.45910658  151.2086413 ],[ 0.01968435 -0.02912331  0.61104434]
[-1960.48176787  2567.81884008   866.47574276],[ 0.06788022  0.02339746 -1.83381626],[-895.00202229 -754.30394552  151.25071305],[ 0.02052949 -0.02897991  0.60993663]
[-1969.69547253  2576.02078611   872.56349823],[ 0.0998467   0.04840299 -1.81193564],[-895.0430247  -754.47198854  151.18404904],[ 0.01901485 -0.02874228  0.61101961]
[-1990.30880771  2592.13922456   891.02301728],[ 0.11740426  0.0472424  -1.78533848],[-895.00219951 -754.47289011  151.16207291],[ 0.01927962 -0.02915001  0.61112739]
